redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance
Magomed Ankalaev,Johnny Walker,Magomed Ankalaev,UFC Fight Night: Ankalaev vs. Walker 2,Marc Goddard,KO/TKO,1,0,39 of 58,24 of 71,67%,33%,39 of 58,26 of 73,0 of 0,0 of 0,---,---,0,0,2,2:42,"6' 3""","6' 6""","75""","82""",Orthodox,Orthodox
Jim Miller,Gabriel Benitez,Jim Miller,UFC Fight Night: Ankalaev vs. Walker 2,Dan Miragliotta,Submission,0,0,80 of 140,80 of 182,57%,43%,96 of 157,84 of 188,2 of 2,0 of 0,100%,---,1,0,3,3:25,"5' 8""","5' 8""","71""","71""",Southpaw,Southpaw
Ricky Simon,Mario Bautista,Mario Bautista,UFC Fight Night: Ankalaev vs. Walker 2,Mark Smith,Decision - Unanimous,0,0,45 of 108,112 of 270,41%,41%,52 of 115,118 of 276,2 of 13,0 of 3,15%,0%,0,0,3,5:00,"5' 6""","5' 9""","69""","69""",Orthodox,Switch
Phil Hawes,Brunno Ferreira,Brunno Ferreira,UFC Fight Night: Ankalaev vs. Walker 2,Chris Tognoni,KO/TKO,0,1,13 of 27,19 of 43,48%,44%,13 of 28,24 of 49,0 of 1,1 of 4,0%,25%,0,0,1,4:55,"6' 0""","5' 10""","77""","72""",Orthodox,Orthodox
Andrei Arlovski,Waldo Cortes-Acosta,Waldo Cortes-Acosta,UFC Fight Night: Ankalaev vs. Walker 2,Marc Goddard,Decision - Unanimous,0,0,58 of 127,49 of 136,45%,36%,58 of 127,50 of 137,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 3""","6' 4""","77""","78""",Orthodox,Orthodox
Matthew Semelsberger,Preston Parsons,Preston Parsons,UFC Fight Night: Ankalaev vs. Walker 2,Dan Miragliotta,Decision - Unanimous,0,0,28 of 69,47 of 87,40%,54%,33 of 77,116 of 165,1 of 2,7 of 11,50%,63%,2,2,3,5:00,"6' 1""","5' 11""","75""","71""",Switch,Orthodox
Marcus McGhee,Gaston Bolanos,Marcus McGhee,UFC Fight Night: Ankalaev vs. Walker 2,Mark Smith,KO/TKO,1,0,65 of 123,28 of 81,52%,34%,74 of 134,28 of 82,1 of 3,0 of 0,33%,---,0,0,2,3:29,"5' 8""","5' 7""","69""","69""",Orthodox,Orthodox
Farid Basharat,Taylor Lapilus,Farid Basharat,UFC Fight Night: Ankalaev vs. Walker 2,Chris Tognoni,Decision - Unanimous,0,0,42 of 100,40 of 93,42%,43%,55 of 116,41 of 94,5 of 16,0 of 0,31%,---,1,0,3,5:00,"5' 8""","5' 6""","71""","73""",Orthodox,Southpaw
Westin Wilson,Jean Silva,Jean Silva,UFC Fight Night: Ankalaev vs. Walker 2,Marc Goddard,KO/TKO,0,1,11 of 36,25 of 36,30%,69%,11 of 36,25 of 36,0 of 3,1 of 1,0%,100%,0,0,1,4:12,"6' 1""","5' 7""","73""","69""",Southpaw,Orthodox
Nikolas Motta,Tom Nolan,Nikolas Motta,UFC Fight Night: Ankalaev vs. Walker 2,Dan Miragliotta,KO/TKO,1,0,21 of 40,12 of 20,52%,60%,21 of 40,12 of 20,0 of 0,0 of 0,---,---,0,0,1,1:03,"5' 9""","6' 3""","70""","73""",Orthodox,Southpaw
Joshua Van,Felipe Bunes,Joshua Van,UFC Fight Night: Ankalaev vs. Walker 2,Mark Smith,KO/TKO,1,0,83 of 141,50 of 91,58%,54%,154 of 222,57 of 101,1 of 1,2 of 6,100%,33%,0,0,2,4:31,"5' 5""","5' 7""","65""","69""",Orthodox,Orthodox
Leon Edwards,Colby Covington,Leon Edwards,UFC 296: Edwards vs. Covington,Herb Dean,Decision - Unanimous,0,0,57 of 108,44 of 126,52%,34%,65 of 116,109 of 194,2 of 3,2 of 10,66%,20%,2,0,5,5:00,"6' 2""","5' 11""","74""","72""",Southpaw,Orthodox
Alexandre Pantoja,Brandon Royval,Alexandre Pantoja,UFC 296: Edwards vs. Covington,Marc Goddard,Decision - Unanimous,0,0,95 of 156,111 of 204,60%,54%,126 of 195,281 of 390,8 of 14,0 of 1,57%,0%,1,0,5,5:00,"5' 5""","5' 9""","67""","68""",Orthodox,Southpaw
Shavkat Rakhmonov,Stephen Thompson,Shavkat Rakhmonov,UFC 296: Edwards vs. Covington,Jason Herzog,Submission,0,0,28 of 36,16 of 25,77%,64%,73 of 88,26 of 37,1 of 5,0 of 0,20%,---,2,0,2,4:56,"6' 1""","6' 0""","77""","75""",Orthodox,Orthodox
Tony Ferguson,Paddy Pimblett,Paddy Pimblett,UFC 296: Edwards vs. Covington,Mark Smith,Decision - Unanimous,0,1,62 of 105,106 of 165,59%,64%,90 of 134,151 of 217,0 of 0,1 of 4,---,25%,0,0,3,5:00,"5' 11""","5' 10""","76""","73""",Orthodox,Orthodox
Josh Emmett,Bryce Mitchell,Josh Emmett,UFC 296: Edwards vs. Covington,Herb Dean,KO/TKO,1,0,2 of 10,0 of 3,20%,0%,2 of 10,0 of 3,0 of 0,0 of 0,---,---,0,0,1,1:57,"5' 6""","5' 10""","70""","70""",Orthodox,Southpaw
Alonzo Menifield,Dustin Jacoby,Alonzo Menifield,UFC 296: Edwards vs. Covington,Chris Tognoni,Decision - Unanimous,1,0,68 of 117,93 of 150,58%,62%,95 of 145,113 of 171,1 of 2,0 of 0,50%,---,0,0,3,5:00,"6' 0""","6' 3""","76""","76""",Orthodox,Orthodox
Irene Aldana,Karol Rosa,Irene Aldana,UFC 296: Edwards vs. Covington,Jason Herzog,Decision - Unanimous,0,0,145 of 308,204 of 350,47%,58%,145 of 308,204 of 350,0 of 0,0 of 1,---,0%,0,0,3,5:00,"5' 9""","5' 5""","68""","67""",Orthodox,Orthodox
Cody Garbrandt,Brian Kelleher,Cody Garbrandt,UFC 296: Edwards vs. Covington,Marc Goddard,KO/TKO,1,0,20 of 41,17 of 25,48%,68%,21 of 42,21 of 29,0 of 0,0 of 1,---,0%,0,0,1,3:42,"5' 8""","5' 6""","65""","66""",Orthodox,Switch
Casey O'Neill,Ariane Lipski,Ariane Lipski,UFC 296: Edwards vs. Covington,Mark Smith,Submission,0,0,31 of 74,64 of 127,41%,50%,32 of 75,86 of 152,0 of 2,1 of 1,0%,100%,0,1,2,1:18,"5' 6""","5' 6""","69""","67""",Orthodox,Orthodox
Tagir Ulanbekov,Cody Durden,Tagir Ulanbekov,UFC 296: Edwards vs. Covington,Chris Tognoni,Submission,1,0,24 of 41,32 of 43,58%,74%,45 of 63,55 of 67,2 of 2,0 of 0,100%,---,5,0,2,4:25,"5' 7""","5' 7""","70""","67""",Southpaw,Southpaw
Andre Fili,Lucas Almeida,Andre Fili,UFC 296: Edwards vs. Covington,Jason Herzog,KO/TKO,1,0,20 of 36,10 of 25,55%,40%,25 of 42,10 of 25,0 of 0,0 of 0,---,---,0,0,1,3:32,"5' 11""","5' 11""","74""","71""",Orthodox,Orthodox
Martin Buday,Shamil Gaziev,Shamil Gaziev,UFC 296: Edwards vs. Covington,Mark Smith,KO/TKO,0,0,8 of 20,49 of 98,40%,50%,13 of 26,60 of 114,0 of 2,0 of 0,0%,---,0,0,2,0:56,"6' 4""","6' 4""","77""","78""",Orthodox,Orthodox
Song Yadong,Chris Gutierrez,Song Yadong,UFC Fight Night: Song vs. Gutierrez,Herb Dean,Decision - Unanimous,0,0,77 of 165,87 of 145,46%,60%,160 of 283,105 of 165,2 of 3,0 of 2,66%,0%,0,0,5,5:00,"5' 8""","5' 9""","67""","67""",Orthodox,Orthodox
Anthony Smith,Khalil Rountree Jr.,Khalil Rountree Jr.,UFC Fight Night: Song vs. Gutierrez,Mark Smith,KO/TKO,0,1,47 of 84,53 of 114,55%,46%,52 of 89,56 of 118,0 of 2,0 of 0,0%,---,0,0,3,0:56,"6' 4""","6' 1""","76""","76""",Orthodox,Southpaw
Nasrat Haqparast,Jamie Mullarkey,Nasrat Haqparast,UFC Fight Night: Song vs. Gutierrez,Keith Peterson,KO/TKO,2,0,16 of 29,8 of 23,55%,34%,18 of 31,8 of 23,0 of 0,0 of 0,---,---,0,0,1,1:44,"5' 10""","6' 0""","72""","74""",Southpaw,Orthodox
Tim Elliott,Sumudaerji,Tim Elliott,UFC Fight Night: Song vs. Gutierrez,Herb Dean,Submission,0,0,10 of 21,10 of 25,47%,40%,26 of 37,10 of 25,1 of 3,0 of 0,33%,---,1,0,1,4:02,"5' 7""","5' 8""","66""","72""",Southpaw,Southpaw
JunYong Park,Andre Muniz,Andre Muniz,UFC Fight Night: Song vs. Gutierrez,Chris Tognoni,Decision - Split,0,0,27 of 60,14 of 30,45%,46%,52 of 96,35 of 60,0 of 0,11 of 14,---,78%,0,0,3,5:00,"5' 10""","6' 1""","73""","78""",Orthodox,Southpaw
Song Kenan,Kevin Jousset,Kevin Jousset,UFC Fight Night: Song vs. Gutierrez,Mark Smith,Decision - Unanimous,0,0,62 of 156,134 of 235,39%,57%,88 of 188,158 of 263,0 of 1,1 of 2,0%,50%,0,0,3,5:00,"6' 0""","6' 2""","71""","75""",Orthodox,Orthodox
HyunSung Park,Shannon Ross,HyunSung Park,UFC Fight Night: Song vs. Gutierrez,Keith Peterson,KO/TKO,2,0,50 of 124,47 of 115,40%,40%,65 of 154,61 of 135,0 of 1,0 of 0,0%,---,0,0,2,3:59,"5' 7""","5' 6""","66""","66""",Orthodox,Switch
Steve Garcia,Melquizael Costa,Steve Garcia,UFC Fight Night: Song vs. Gutierrez,Chris Tognoni,KO/TKO,1,0,29 of 49,6 of 10,59%,60%,41 of 66,20 of 25,0 of 0,2 of 10,---,20%,1,0,2,1:01,"6' 0""","5' 10""","75""","71""",Southpaw,Southpaw
Luana Santos,Stephanie Egger,Luana Santos,UFC Fight Night: Song vs. Gutierrez,Herb Dean,Decision - Unanimous,0,0,53 of 104,44 of 115,50%,38%,97 of 161,112 of 193,2 of 4,1 of 1,50%,100%,0,0,3,5:00,"5' 6""","5' 6""","67""","68""",Orthodox,Orthodox
Tatsuro Taira,Carlos Hernandez,Tatsuro Taira,UFC Fight Night: Song vs. Gutierrez,Mark Smith,KO/TKO,1,0,33 of 43,2 of 4,76%,50%,44 of 60,2 of 4,0 of 0,0 of 2,---,0%,0,0,2,0:55,"5' 7""","5' 8""","70""","67""",Orthodox,Orthodox
Rayanne Amanda,Talita Alencar,Talita Alencar,UFC Fight Night: Song vs. Gutierrez,Keith Peterson,Decision - Split,0,0,57 of 130,36 of 157,43%,22%,80 of 156,48 of 176,0 of 1,1 of 9,0%,11%,0,0,3,5:00,"5' 2""","5' 1""","62""","58""",Orthodox,Orthodox
Beneil Dariush,Arman Tsarukyan,Arman Tsarukyan,UFC Fight Night: Dariush vs. Tsarukyan,Mark Smith,KO/TKO,0,1,2 of 8,8 of 15,25%,53%,2 of 8,8 of 15,0 of 0,0 of 0,---,---,0,0,1,1:04,"5' 10""","5' 7""","72""","72""",Southpaw,Orthodox
Jalin Turner,Bobby Green,Jalin Turner,UFC Fight Night: Dariush vs. Tsarukyan,Kerry Hatley,KO/TKO,1,0,33 of 60,15 of 26,55%,57%,33 of 60,15 of 26,0 of 0,0 of 0,---,---,0,0,1,2:49,"6' 3""","5' 10""","77""","71""",Southpaw,Orthodox
Rob Font,Deiveson Figueiredo,Deiveson Figueiredo,UFC Fight Night: Dariush vs. Tsarukyan,Jeff Rexroad,Decision - Unanimous,0,0,46 of 94,45 of 74,48%,60%,48 of 96,53 of 84,0 of 2,4 of 7,0%,57%,0,0,3,5:00,"5' 8""","5' 5""","71""","68""",Orthodox,Orthodox
Sean Brady,Kelvin Gastelum,Sean Brady,UFC Fight Night: Dariush vs. Tsarukyan,Jacob Montalvo,Submission,0,0,14 of 24,18 of 32,58%,56%,97 of 130,21 of 35,5 of 5,0 of 0,100%,---,3,0,3,1:43,"5' 10""","5' 9""","72""","71""",Orthodox,Southpaw
Clay Guida,Joaquim Silva,Joaquim Silva,UFC Fight Night: Dariush vs. Tsarukyan,Mark Smith,Decision - Unanimous,0,0,43 of 134,46 of 91,32%,50%,63 of 155,85 of 141,2 of 11,2 of 3,18%,66%,0,2,3,5:00,"5' 7""","5' 8""","70""","69""",Orthodox,Southpaw
Punahele Soriano,Dustin Stoltzfus,Dustin Stoltzfus,UFC Fight Night: Dariush vs. Tsarukyan,Kerry Hatley,Submission,0,1,31 of 73,64 of 123,42%,52%,33 of 76,78 of 140,0 of 0,4 of 7,---,57%,0,1,2,4:10,"5' 11""","6' 0""","72""","75""",Southpaw,Orthodox
Miesha Tate,Julia Avila,Miesha Tate,UFC Fight Night: Dariush vs. Tsarukyan,Jacob Montalvo,Submission,0,0,32 of 37,3 of 11,86%,27%,127 of 152,11 of 21,4 of 5,0 of 0,80%,---,1,0,3,1:15,"5' 6""","5' 7""","65""","68""",Orthodox,Orthodox
Zach Reese,Cody Brundage,Cody Brundage,UFC Fight Night: Dariush vs. Tsarukyan,Jeff Rexroad,KO/TKO,0,0,4 of 5,9 of 12,80%,75%,10 of 12,12 of 16,0 of 0,1 of 1,---,100%,1,0,1,1:49,"6' 4""","6' 0""","77""","72""",Switch,Orthodox
Drakkar Klose,Joe Solecki,Drakkar Klose,UFC Fight Night: Dariush vs. Tsarukyan,Mark Smith,KO/TKO,0,0,2 of 2,1 of 1,100%,100%,8 of 9,9 of 13,0 of 0,1 of 2,---,50%,0,0,1,1:41,"5' 9""","5' 9""","70""","70""",Orthodox,Orthodox
Rodolfo Bellato,Ihor Potieria,Rodolfo Bellato,UFC Fight Night: Dariush vs. Tsarukyan,Jacob Montalvo,KO/TKO,0,1,80 of 131,73 of 127,61%,57%,99 of 160,92 of 153,1 of 4,0 of 0,25%,---,0,0,2,4:17,"6' 3""","6' 3""","77""","75""",Orthodox,Southpaw
Wellington Turman,Jared Gooden,Jared Gooden,UFC Fight Night: Dariush vs. Tsarukyan,Jeff Rexroad,Submission,0,0,37 of 57,53 of 83,64%,63%,46 of 73,62 of 95,1 of 1,1 of 1,100%,100%,0,1,2,1:11,"6' 0""","6' 0""","72""","77""",Orthodox,Orthodox
Veronica Hardy,Jamey-Lyn Horth,Veronica Hardy,UFC Fight Night: Dariush vs. Tsarukyan,Mark Smith,Decision - Split,0,0,43 of 101,43 of 87,42%,49%,61 of 122,74 of 125,1 of 2,1 of 3,50%,33%,0,0,3,5:00,"5' 4""","5' 7""","64""","66""",Southpaw,Orthodox
Brendan Allen,Paul Craig,Brendan Allen,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,32 of 43,6 of 14,74%,42%,52 of 64,13 of 21,2 of 2,0 of 2,100%,0%,2,1,3,0:38,"6' 2""","6' 3""","75""","76""",Orthodox,Orthodox
Michael Morales,Jake Matthews,Michael Morales,UFC Fight Night: Allen vs. Craig,Herb Dean,Decision - Unanimous,0,0,84 of 208,57 of 149,40%,38%,84 of 208,57 of 149,0 of 1,0 of 1,0%,0%,0,0,3,5:00,"6' 0""","5' 11""","79""","73""",Orthodox,Orthodox
Chase Hooper,Jordan Leavitt,Chase Hooper,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,1 of 3,3 of 4,33%,75%,13 of 18,5 of 10,0 of 0,0 of 2,---,0%,1,0,1,2:58,"6' 1""","5' 9""","74""","71""",Southpaw,Southpaw
Payton Talbott,Nick Aguirre,Payton Talbott,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,28 of 53,5 of 12,52%,41%,58 of 90,18 of 29,0 of 0,2 of 10,---,20%,1,0,3,0:58,"5' 10""","5' 9""","70""","74""",Switch,Southpaw
Luana Pinheiro,Amanda Ribas,Amanda Ribas,UFC Fight Night: Allen vs. Craig,Chris Tognoni,KO/TKO,0,1,55 of 116,87 of 224,47%,38%,56 of 120,96 of 234,1 of 6,0 of 1,16%,0%,0,0,3,3:53,"5' 2""","5' 3""","62""","66""",Orthodox,Orthodox
Uros Medic,Myktybek Orolbai,Myktybek Orolbai,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,14 of 27,8 of 20,51%,40%,17 of 32,16 of 31,0 of 0,7 of 10,---,70%,0,1,2,4:12,"6' 1""","5' 10""","71""","74""",Southpaw,Orthodox
Jonathan Pearce,Joanderson Brito,Joanderson Brito,UFC Fight Night: Allen vs. Craig,Herb Dean,Submission,0,0,14 of 16,8 of 20,87%,40%,81 of 96,33 of 47,1 of 4,1 of 1,25%,100%,0,1,2,3:54,"6' 0""","5' 8""","71""","72""",Switch,Orthodox
Chad Anheliger,Jose Johnson,Jose Johnson,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Submission,0,0,26 of 71,63 of 108,36%,58%,47 of 103,141 of 198,4 of 8,1 of 2,50%,50%,0,1,3,4:49,"5' 6""","6' 0""","64""","71""",Orthodox,Orthodox
Christian Leroy Duncan,Denis Tiuliulin,Christian Leroy Duncan,UFC Fight Night: Allen vs. Craig,Mike Beltran,KO/TKO,1,0,65 of 87,30 of 71,74%,42%,90 of 123,37 of 81,0 of 2,0 of 0,0%,---,0,0,2,4:24,"6' 2""","6' 1""","79""","77""",Switch,Orthodox
Mick Parkin,Caio Machado,Mick Parkin,UFC Fight Night: Allen vs. Craig,Mark Smith,Decision - Unanimous,0,0,39 of 98,76 of 132,39%,57%,69 of 139,103 of 164,3 of 10,0 of 1,30%,0%,0,0,3,5:00,"6' 4""","6' 4""","79""","78""",Orthodox,Southpaw
Jeka Saragih,Lucas Alexander,Jeka Saragih,UFC Fight Night: Allen vs. Craig,Herb Dean,KO/TKO,1,0,4 of 9,11 of 16,44%,68%,4 of 9,11 of 16,1 of 1,0 of 1,100%,0%,0,0,1,1:31,"5' 8""","5' 11""","69""","73""",Orthodox,Orthodox
Lucie Pudilova,Ailin Perez,Ailin Perez,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,20 of 42,42 of 74,47%,56%,41 of 67,123 of 180,0 of 0,2 of 8,---,25%,1,0,3,5:00,"5' 8""","5' 5""","67""","66""",Orthodox,Switch
Trey Ogden,Nikolas Motta,,UFC Fight Night: Allen vs. Craig,Mike Beltran,Overturned,0,0,58 of 83,14 of 80,69%,17%,96 of 128,16 of 82,3 of 16,0 of 0,18%,---,1,0,3,3:11,"5' 11""","5' 9""","72""","70""",Orthodox,Orthodox
Charles Johnson,Rafael Estevam,Rafael Estevam,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,72 of 109,18 of 43,66%,41%,116 of 161,35 of 77,0 of 0,3 of 22,---,13%,0,1,3,5:00,"5' 9""","5' 8""","70""","69""",Switch,Orthodox
Jiri Prochazka,Alex Pereira,Alex Pereira,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,0,1,30 of 53,38 of 61,56%,62%,44 of 70,49 of 72,1 of 3,0 of 0,33%,---,0,1,2,4:08,"6' 3""","6' 4""","80""","79""",Orthodox,Orthodox
Sergei Pavlovich,Tom Aspinall,Tom Aspinall,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,KO/TKO,0,1,1 of 7,10 of 14,14%,71%,1 of 7,10 of 14,0 of 0,0 of 0,---,---,0,0,1,1:09,"6' 3""","6' 5""","84""","78""",Southpaw,Orthodox
Jessica Andrade,Mackenzie Dern,Jessica Andrade,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,4,0,53 of 107,49 of 114,49%,42%,53 of 107,50 of 115,0 of 0,0 of 4,---,0%,0,0,2,3:15,"5' 1""","5' 4""","62""","63""",Orthodox,Orthodox
Matt Frevola,Benoit Saint Denis,Benoit Saint Denis,UFC 295: Prochazka vs. Pereira,Mike Beltran,KO/TKO,0,1,5 of 9,6 of 11,55%,54%,7 of 12,10 of 15,2 of 2,0 of 0,100%,---,0,0,1,1:31,"5' 9""","5' 11""","71""","73""",Orthodox,Southpaw
Diego Lopes,Pat Sabatini,Diego Lopes,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,1,0,13 of 18,7 of 12,72%,58%,13 of 18,10 of 16,0 of 1,0 of 2,0%,0%,0,0,1,1:30,"5' 11""","5' 8""","72""","70""",Orthodox,Orthodox
Steve Erceg,Alessandro Costa,Steve Erceg,UFC 295: Prochazka vs. Pereira,Marc Goddard,Decision - Unanimous,0,0,74 of 125,54 of 97,59%,55%,104 of 162,85 of 129,1 of 8,1 of 6,12%,16%,1,0,3,5:00,"5' 8""","5' 4""","68""","67""",Orthodox,Orthodox
Tabatha Ricci,Loopy Godinez,Loopy Godinez,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Split,0,0,84 of 224,98 of 221,37%,44%,91 of 232,101 of 225,0 of 6,0 of 1,0%,0%,0,0,3,5:00,"5' 1""","5' 2""","61""","61""",Orthodox,Orthodox
Mateusz Rebecki,Roosevelt Roberts,Mateusz Rebecki,UFC 295: Prochazka vs. Pereira,Mike Beltran,Submission,0,0,10 of 16,2 of 7,62%,28%,28 of 38,6 of 12,2 of 2,0 of 0,100%,---,1,0,1,3:08,"5' 7""","6' 2""","66""","73""",Southpaw,Orthodox
Nazim Sadykhov,Viacheslav Borshchev,,UFC 295: Prochazka vs. Pereira,Keith Peterson,Decision - Majority,1,0,91 of 207,143 of 241,43%,59%,109 of 228,144 of 242,4 of 7,0 of 0,57%,---,0,0,3,5:00,"5' 10""","5' 11""","69""","69""",Southpaw,Orthodox
Jared Gordon,Mark Madsen,Jared Gordon,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,1,0,36 of 66,35 of 57,54%,61%,54 of 87,46 of 69,0 of 0,0 of 0,---,---,0,0,1,4:42,"5' 9""","5' 8""","68""","72""",Orthodox,Orthodox
John Castaneda,Kyung Ho Kang,John Castaneda,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Unanimous,0,0,111 of 179,88 of 202,62%,43%,119 of 187,88 of 203,3 of 8,0 of 0,37%,---,0,0,3,5:00,"5' 6""","5' 9""","71""","73""",Switch,Orthodox
Joshua Van,Kevin Borjas,Joshua Van,UFC 295: Prochazka vs. Pereira,Mike Beltran,Decision - Unanimous,0,0,156 of 300,75 of 197,52%,38%,165 of 311,78 of 200,2 of 4,0 of 3,50%,0%,0,0,3,5:00,"5' 5""","5' 5""","65""","68""",Orthodox,Orthodox
Dennis Buzukja,Jamall Emmers,Jamall Emmers,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,0,1,3 of 7,14 of 20,42%,70%,3 of 7,14 of 20,0 of 0,0 of 0,---,---,0,0,1,0:49,"5' 9""","5' 10""","70""","74""",Switch,Orthodox
Jailton Almeida,Derrick Lewis,Jailton Almeida,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,0,0,38 of 56,20 of 39,67%,51%,120 of 153,28 of 54,6 of 15,0 of 2,40%,0%,4,0,5,5:00,"6' 3""","6' 3""","79""","79""",Orthodox,Orthodox
Gabriel Bonfim,Nicolas Dalby,Nicolas Dalby,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,KO/TKO,0,1,39 of 91,53 of 113,42%,46%,47 of 103,64 of 128,3 of 5,0 of 1,60%,0%,1,0,2,4:33,"6' 1""","5' 11""","72""","74""",Orthodox,Orthodox
Rodrigo Nascimento,Don'Tale Mayes,Rodrigo Nascimento,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,Decision - Unanimous,0,0,70 of 154,79 of 159,45%,49%,91 of 180,105 of 190,0 of 3,0 of 1,0%,0%,0,0,3,5:00,"6' 2""","6' 6""","80""","81""",Orthodox,Orthodox
Caio Borralho,Abus Magomedov,Caio Borralho,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,1,0,51 of 103,38 of 107,49%,35%,70 of 126,39 of 110,0 of 1,0 of 0,0%,---,0,0,3,5:00,"5' 10""","6' 2""","75""","78""",Southpaw,Orthodox
Elves Brener,Kaynan Kruschewsky,Elves Brener,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,KO/TKO,1,0,16 of 33,8 of 31,48%,25%,16 of 33,8 of 31,0 of 0,0 of 0,---,---,0,0,1,4:01,"5' 10""","6' 0""","72""","73""",Orthodox,Orthodox
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Majority,1,0,87 of 186,75 of 152,46%,49%,109 of 216,115 of 211,1 of 9,0 of 1,11%,0%,0,1,3,5:00,"6' 0""","5' 11""","74""","73""",Orthodox,Orthodox
Vitor Petrino,Modestas Bukauskas,Vitor Petrino,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,KO/TKO,1,0,8 of 26,9 of 19,30%,47%,14 of 34,12 of 23,1 of 2,0 of 0,50%,---,0,0,2,1:03,"6' 2""","6' 3""","77""","78""",Orthodox,Switch
Angela Hill,Denise Gomes,Angela Hill,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Unanimous,0,0,76 of 120,62 of 133,63%,46%,96 of 153,111 of 203,5 of 9,1 of 3,55%,33%,0,0,3,5:00,"5' 3""","5' 2""","64""","63""",Orthodox,Orthodox
Eduarda Moura,Montserrat Conejo Ruiz,Eduarda Moura,UFC Fight Night: Almeida vs. Lewis,Joao Claudio Soares,KO/TKO,0,0,57 of 77,5 of 22,74%,22%,102 of 139,9 of 29,3 of 3,0 of 0,100%,---,0,0,2,2:14,"5' 6""","5' 0""","66""","61""",Orthodox,Southpaw
Kaue Fernandes,Marc Diakiese,Marc Diakiese,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,Decision - Split,0,0,23 of 42,13 of 32,54%,40%,67 of 92,65 of 92,1 of 1,3 of 8,100%,37%,0,0,3,5:00,"5' 9""","5' 10""","73""","73""",Orthodox,Orthodox
Islam Makhachev,Alexander Volkanovski,Islam Makhachev,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,KO/TKO,1,0,24 of 29,4 of 6,82%,66%,39 of 46,11 of 18,0 of 1,0 of 0,0%,---,0,0,1,3:06,"5' 10""","5' 6""","70""","71""",Southpaw,Orthodox
Kamaru Usman,Khamzat Chimaev,Khamzat Chimaev,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Majority,0,0,36 of 66,38 of 70,54%,54%,58 of 92,107 of 143,0 of 1,4 of 12,0%,33%,0,1,3,5:00,"6' 0""","6' 2""","76""","75""",Switch,Orthodox
Magomed Ankalaev,Johnny Walker,,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Could Not Continue,0,0,13 of 19,14 of 27,68%,51%,16 of 23,17 of 30,1 of 1,0 of 0,100%,---,0,0,1,3:13,"6' 3""","6' 6""","75""","82""",Orthodox,Orthodox
Ikram Aliskerov,Warlley Alves,Ikram Aliskerov,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,KO/TKO,1,0,26 of 36,12 of 16,72%,75%,26 of 36,12 of 16,0 of 0,0 of 0,---,---,0,0,1,2:07,"6' 0""","5' 11""","76""","72""",Southpaw,Orthodox
Said Nurmagomedov,Muin Gafurov,Said Nurmagomedov,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,Submission,0,0,5 of 11,1 of 3,45%,33%,5 of 11,1 of 3,0 of 0,0 of 1,---,0%,1,0,1,1:13,"5' 8""","5' 7""","70""","68""",Orthodox,Southpaw
