103.172.120.96:8080
190.128.248.134:999
190.95.202.210:999
164.163.42.33:10000
23.152.40.14:3128
199.167.236.12:3128
133.242.203.223:80
23.237.145.36:31288
200.174.198.86:8888
43.132.124.11:3128
189.240.60.164:9090
62.33.53.248:3128
164.163.43.102:10000
3.108.115.48:1080
45.228.233.94:999
121.151.223.163:1337
