name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Henrique Shiguemoto,714,13.0,4.0,1,35.0,97,0.0,0.33,0.0,0.0,0.0,71,72,0.0,3.6,0.8333333333333334,6.0,0.16,0.5
Liudvik Sholinian,Palmeyros,9.0,4.0,1,34.0,58,0.0,0.3,0.0,0.0,0.0,70,71,0.0,2.5,15.0,5.67,0.55,0.66
Jack Shore,Tank,17.0,2.0,0,29.0,26,0.33,0.58,3.1,0.38,0.7,68,71,0.0,3.75,11.483333333333333,2.32,0.56,0.76
Sam Sicilia,716,15.0,8.0,0,38.0,8,0.14,0.33,1.45,0.43,0.9,68,67,0.0,2.46,8.65,3.55,0.59,0.7
Serhiy Sidey,717,10.0,2.0,0,28.0,29,0.86,0.35,0.0,0.0,0.0,71,72,3.0,5.16,8.716666666666667,4.19,0.56,0.0
Steven Siler,Super,29.0,16.0,0,37.0,8,0.16,0.41,0.47,0.21,1.6,71,70,0.0,3.21,10.55,2.96,0.54,0.55
Anderson Silva,The Spider,34.0,11.0,0,49.0,23,0.86,0.61,0.5,0.77,0.8,74,77,1.0,3.05,10.25,2.05,0.6,0.69
Wanderlei Silva,The Axe Murderer,35.0,13.0,1,48.0,23,1.29,0.4,0.97,0.53,0.6,71,74,0.0,2.79,10.366666666666667,2.19,0.6,0.62
Antonio Silva,Bigfoot,19.0,12.0,1,45.0,23,0.82,0.45,0.82,0.29,0.8,76,82,0.0,2.89,7.316666666666666,3.09,0.5,0.66
Erick Silva,The Tiger,19.0,9.0,0,40.0,23,0.42,0.48,0.85,0.35,1.4,72,74,0.0,2.5,7.066666666666666,4.18,0.49,0.56
Leandro Silva,Buscape,20.0,6.0,1,38.0,23,0.0,0.48,1.76,0.37,0.4,69,72,0.0,2.39,12.75,2.08,0.63,0.65
Claudio Silva,Hannibal,14.0,4.0,0,42.0,23,0.0,0.42,2.85,0.26,1.1,71,71,1.0,2.48,11.833333333333334,3.0,0.46,0.44
Joaquim Silva,Netto BJJ,13.0,6.0,0,35.0,23,0.39,0.43,0.39,0.5,0.8,68,69,1.0,3.66,10.55,4.53,0.53,0.69
Felipe Silva,720,8.0,2.0,0,40.0,23,2.0,0.5,1.0,1.0,0.0,72,77,0.0,5.4,5.0,1.8,0.59,0.71
Bruno Silva,Bulldog,14.0,5.0,2,34.0,23,1.36,0.48,2.26,0.28,0.2,64,65,0.0,3.32,9.466666666666667,3.14,0.58,0.6
Bruno Silva,Blindado,23.0,11.0,0,35.0,23,0.37,0.49,0.93,0.27,0.0,72,74,0.0,4.12,9.0,5.45,0.41,0.73
Gabriel Silva,721,8.0,2.0,0,30.0,23,0.0,0.34,1.5,0.25,0.5,66,71,0.0,1.3,15.0,3.47,0.45,0.38
Jacob Silva,Lil Animal,6.0,4.0,0,36.0,8,0.0,0.44,1.51,1.0,0.0,65,67,0.0,4.17,9.95,4.92,0.56,0.66
Natalia Silva,722,18.0,5.0,1,27.0,23,0.4,0.47,0.4,0.25,0.0,64,65,1.0,5.19,12.4,2.35,0.64,0.91
Jansey Silva,Jones,7.0,2.0,0,29.0,97,0.0,0.4,0.0,0.0,0.0,74,67,0.0,0.46,4.316666666666666,2.32,0.33,0.0
Maria Silva,Viuva Negra,8.0,1.0,0,28.0,23,0.0,0.57,2.0,1.0,0.5,63,64,0.0,3.0,15.0,1.13,0.62,0.55
Karine Silva,Killer,18.0,4.0,0,30.0,23,0.45,0.35,3.59,0.72,2.2,65,67,0.0,2.67,6.683333333333334,3.12,0.49,0.0
Erik Silva,The King,9.0,3.0,0,37.0,67,0.0,0.7,3.76,0.8,0.0,69,71,0.0,2.07,5.316666666666666,1.57,0.4,0.62
Janaina Silva,JanaIronHand,5.0,1.0,0,32.0,97,0.0,0.0,0.0,0.0,0.0,61,60,0.0,0.0,4.0,1.5,0.62,0.0
Jhonata Silva,723,8.0,2.0,0,27.0,97,0.0,0.52,0.0,0.0,0.0,65,66,0.0,4.86,7.616666666666667,9.85,0.44,0.0
Jean Silva,Lord,14.0,2.0,0,27.0,23,1.22,0.52,0.81,0.5,0.0,67,69,0.0,5.37,9.266666666666667,4.43,0.57,0.8
Danny Silva,El Puma,9.0,1.0,0,27.0,8,0.5,0.58,3.0,0.5,0.5,71,70,3.0,8.3,15.0,9.47,0.59,1.0
Douglas Silva de Andrade,D Silva,29.0,6.0,0,39.0,23,0.55,0.38,0.55,0.42,0.2,67,68,0.0,3.54,12.516666666666667,3.93,0.57,0.72
Elias Silverio,Xuxu,13.0,3.0,0,38.0,8,0.2,0.49,1.62,0.38,0.2,71,73,0.0,3.67,14.866666666666667,2.97,0.51,0.85
Jamey Simmons,The Afro Samurai,7.0,4.0,0,32.0,8,0.0,0.21,0.0,0.0,0.0,66,70,0.0,0.79,5.716666666666667,1.92,0.74,0.5
Ricky Simon,724,20.0,6.0,0,32.0,8,0.33,0.43,5.2,0.44,0.3,66,69,0.0,2.99,12.966666666666667,3.84,0.61,0.75
Aaron Simpson,ATrain,12.0,5.0,0,50.0,8,0.83,0.52,3.78,0.34,0.5,72,73,0.0,3.6,10.583333333333334,2.53,0.56,0.83
Tony Sims,725,12.0,4.0,0,39.0,8,0.71,0.63,0.71,0.5,0.7,71,70,1.0,1.81,7.0,0.76,0.65,0.5
Everett Sims,Sexual Chocolate,4.0,1.0,0,36.0,8,0.0,0.66,0.0,0.0,1.2,77,77,1.0,0.81,12.333333333333334,2.19,0.3,0.42
Rory Singer,Outburst,11.0,9.0,0,48.0,8,0.0,0.39,0.39,0.25,0.8,74,77,0.0,2.55,9.516666666666667,2.42,0.63,0.64
