193.38.244.17:3128
158.255.212.55:10434
147.75.34.103:10004
178.48.68.61:18080
125.212.200.103:9000
147.75.34.103:10001
74.255.219.229:3129
43.163.251.97:8080
23.237.145.36:31288
190.119.80.140:80
