redCorner,blueCorner,winner,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,redCorner_fightTime,blueCorner_fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
Brandon Moreno,Brandon Royval,,21,15,7,7,2,0,30,31,47,49,0.26,0.64,0.43,0.43,1.73,0.43,0.45,0.66,0.5,1.5,67,69,70,68,0,1,3.8,3.8,15.56,8.783333333,3.4,3.05,0.56,0.45,0.64,0.4
Yair Rodriguez,Brian Ortega,,16,15,4,3,0,0,31,32,47,49,0.24,0.53,0.46,0.38,0.73,0.95,0.28,0.23,0.7,1.2,71,68,71,69,0,3,4.63,4.19,13.26666667,12.95,4.07,6.66,0.51,0.49,0.59,0.56
Daniel Zellhuber,Francisco Prado,,14,12,1,1,0,0,24,21,47,50,0.28,0.79,0.39,0.5,0.28,0.0,0.33,0.0,0.3,0.8,73,70,77,69,3,0,5.26,3.46,13.36666667,9.55,4.79,3.83,0.53,0.46,0.94,0.25
Raul Rosas Jr,Ricky Turcios,,8,13,1,3,0,0,19,30,49,49,0.45,0.25,0.44,0.37,3.57,1.0,0.33,0.25,1.8,0.2,69,69,67,71,3,0,1.28,5.08,8.416666667,15.0,1.52,3.7,0.46,0.55,0.0,0.45
Yazmin Jauregui,Sam Hughes,,10,8,1,5,0,0,24,31,47,49,1.23,0.0,0.41,0.46,0.0,1.12,0.0,0.41,0.0,0.0,63,65,64,64,0,0,6.26,3.79,8.15,13.41666667,4.87,4.23,0.54,0.54,1.0,0.57
Manuel Torres,Chris Duncan,,14,11,2,1,0,0,28,30,47,81,6.04,0.4,0.58,0.46,0.0,3.63,0.0,0.39,0.0,0.0,70,70,73,71,3,0,9.66,5.08,2.483333333,9.3,3.76,3.74,0.56,0.49,1.0,1.0
Cristian Quinonez,Raoni Barcelos,,18,17,4,5,0,0,27,36,47,18,0.73,0.6,0.42,0.51,0.73,1.8,1.0,0.37,0.0,0.4,68,67,70,67,0,0,5.23,5.38,6.883333333,12.51666667,5.13,5.03,0.59,0.61,0.85,0.9
