redCorner,blueCorner,winner,referee,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
0,2,2,44,58,0,3,11,12,2,4,0,0,34.0,31.0,19,70,0.0,0.0,0.39,0.4,2.0,0.0,0.4,0.0,0.0,0.0,68,73,76,74,0,0,5.666666666666667,7.866666666666666,15.0,7.866666666666666,5.666666666666667,0.5916955017301038,0.6082949308755761,1.0,0.6
0,2,2,150,58,0,0,22,13,9,2,0,0,35.0,33.0,58,8,0.0,2.0,0.34,0.51,0.0,0.0,0.0,0.0,0.0,2.0,71,72,75,74,0,0,2.8125,5.113636363636364,11.733333333333333,5.113636363636364,2.8125,0.48717948717948717,0.6526315789473685,1.0,1.0
0,2,0,155,58,1,1,5,6,1,1,0,0,26.0,25.0,53,53,0.0,0.0,0.52,0.59,1.0,2.0,1.0,0.33,1.0,0.0,73,75,77,75,0,0,6.344827586206897,6.206896551724138,7.25,6.206896551724138,6.344827586206897,0.40789473684210525,0.47126436781609193,0.6666666666666666,0.0
0,2,0,44,58,1,2,10,5,2,1,0,0,28.0,22.0,53,53,1.0,0.0,0.58,0.49,2.0,6.0,0.5,0.54,0.0,0.0,69,68,71,71,0,0,6.666666666666667,4.4,15.0,4.4,6.666666666666667,0.5074626865671642,0.4152046783625731,0.45454545454545453,0.5
0,2,2,155,58,0,2,18,15,6,2,0,0,28.0,34.0,53,53,0.0,0.0,0.35,0.57,3.0,0.0,0.42,0.0,0.0,0.0,69,73,77,74,0,1,3.7333333333333334,8.0,15.0,8.0,3.7333333333333334,0.42857142857142855,0.65,1.0,0.5714285714285714
0,2,0,150,58,0,2,5,6,1,3,0,0,30.0,34.0,53,53,0.0,0.0,0.57,0.59,4.0,0.0,0.44,0.0,1.0,0.0,72,71,73,72,3,0,3.484848484848485,2.3484848484848486,13.2,2.3484848484848486,3.484848484848485,0.40384615384615385,0.425,1.0,0.5555555555555556
0,2,2,44,58,0,2,25,32,6,14,0,0,31.0,33.0,45,53,0.0,0.0,0.4,0.57,0.0,3.0,0.0,0.3,0.0,1.0,74,73,75,77,0,1,5.8679706601467,4.69437652811736,6.816666666666666,4.69437652811736,5.8679706601467,0.42857142857142855,0.5959595959595959,0.7,1.0
0,2,2,155,58,0,3,13,10,5,4,0,0,31.0,36.0,13,56,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72,70,74,73,0,0,3.5294117647058822,3.5294117647058822,0.2833333333333333,3.5294117647058822,3.5294117647058822,0.0,0.5,1.0,1.0
0,2,2,81,58,0,3,33,16,15,5,1,0,35.0,25.0,53,58,0.0,0.0,0.55,0.57,0.0,2.0,0.0,0.22,0.0,0.0,74,72,75,72,1,0,4.533333333333333,4.6,15.0,4.6,4.533333333333333,0.42016806722689076,0.4426229508196721,0.7777777777777778,1.0
0,2,0,150,58,0,3,12,14,7,5,0,1,30.0,33.0,71,53,0.0,0.0,0.6,0.54,0.0,2.0,0.0,1.0,0.0,0.0,75,72,76,74,0,0,12.065217391304348,5.869565217391304,3.066666666666667,5.869565217391304,12.065217391304348,0.45454545454545453,0.39344262295081966,0.0,1.0
