name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Akira Corassani,137,12,6,0,41,49,0,0.45,0.7,0.28,0,68,68,0,3.25,7.116666667,4.91,0.5,0.86
Akitoshi Tamura,The Ironman,21,18,2,43,49,0,0.43,0,0,1,69,70,0,3.73,14.93333333,1.94,0.78,0.2
Al Iaquinta,Raging,14,7,1,36,49,0.55,0.4,0.63,0.18,0.2,70,70,0,4.06,12.7,4.53,0.61,0.74
Al Matavao,Sweetness,8,3,0,29,111,0,0.46,0,0,0,68,67,0,7.84,7.016666667,6.7,0.58,0
Alan Baudot,The Black Samourai,8,3,0,36,87,0.48,0.58,0,0,0,75,79,0,5.36,7.783333333,4.82,0.46,0.62
Alan Belcher,The Talent,18,8,0,39,49,0.33,0.41,0.44,0.26,0.9,74,75,0,2.7,9.183333333,3.1,0.59,0.55
Alan Jouban,Brahma,17,7,0,42,49,1.15,0.5,0.51,0.44,0.3,72,73,1,5.67,9,3.77,0.6,0.58
Alan Patrick,Nuguette,15,4,0,40,18,0.13,0.4,3.01,0.33,0.3,71,74,1,1.82,11.46666667,2.95,0.43,0.43
Alatengheili,The Mongolian Knight,16,9,2,32,25,0.17,0.33,1.82,0.4,0,65,66,0,2.88,12.96666667,5.03,0.58,0.72
Albert Duraev,194,16,5,0,35,71,0,0.4,1.97,0.29,0.6,71,75,0,2.99,10.65,3.01,0.59,0.66
Albert Tumenov,Einstein,18,4,0,32,71,1.01,0.42,0.2,0.2,0,71,73,0,3.76,9.266666667,3.34,0.58,0.75
Alejandro Perez,Turbo,23,9,1,34,47,0.11,0.35,0.54,0.22,0.3,66,67,0,3.45,10.68333333,3.18,0.61,0.7
Aleksa Camur,113,6,3,0,28,112,0.23,0.57,0.46,0.22,0,73,74,0,4.73,13.16666667,4.26,0.54,0.5
Aleksandar Rakic,Rocket,14,3,0,31,28,0.66,0.5,0.82,0.25,0.2,76,78,0,4.01,11.38333333,2.3,0.53,0.9
Aleksei Kunchenko,399,20,2,0,39,71,0,0.44,0.25,0.33,0,68,70,0,3.67,15,2.83,0.63,0.8
Aleksei Oleinik,The Boa Constrictor,60,17,1,46,71,0.26,0.48,1.82,0.46,1.9,74,80,0,3.29,6.8,3.8,0.44,0.37
Alen Amedovski,25,8,4,0,35,32,0,0.3,0,0,0,70,74,0,0.99,5.066666667,3.85,0.46,0
Alessandro Costa,Nono,13,4,0,28,18,0.62,0.46,0.31,0.16,0,64,67,0,3.75,12.06666667,3.61,0.56,0.9
Alessio Di Chirico,Manzo,13,7,0,34,0,0.4,0.39,1.46,0.39,0,72,74,0,3.32,10.28333333,3.44,0.61,0.83
Alessio Sakara,Legionarius,19,11,0,42,49,0.79,0.47,2.18,0.78,0,72,72,0,3.96,5.033333333,2.8,0.59,0.62
Alex Caceres,Bruce Leeroy,21,14,0,35,49,0.22,0.5,0.56,0.68,0.7,70,73,1,4.16,11.91666667,2.93,0.63,0.64
Alex Chambers,Astro Girl,5,5,0,45,34,0,0.54,2.31,0.41,1,63,63,1,2.97,9.1,5.1,0.5,0.53
Alex Garcia,The Dominican Nightmare,15,6,0,36,92,0.38,0.31,3.72,0.52,0.1,69,72,0,1.81,11.7,3.03,0.59,0.66
Alex Gorgees,Hitman,6,1,0,28,34,0,0.32,0,0,0,74,74,3,0.67,15,2.27,0.38,0.54
Alex Karalexis,The Assassin,10,6,0,46,49,0,0.42,2.7,0.45,0.9,68,66,0,2.57,8.316666667,2.39,0.54,0.86
Alex Oliveira,Cowboy,22,12,1,35,18,0.43,0.51,2.35,0.38,0.6,71,76,0,2.99,9.566666667,2.55,0.46,0.63
Alex Pereira,Poatan,9,2,0,36,18,0.57,0.62,0.19,1,0.4,76,79,0,5,11.2,3.65,0.5,0.7
Alex Perez,532,24,7,0,31,49,0.78,0.48,2.84,0.44,1.3,66,65,0,4.67,5.8,3.14,0.6,0.77
Alex Reyes,The Executioner,13,4,0,37,49,0,0.39,0,0,0,71,73,0,4.04,2.483333333,10.91,0.4,0
Alex Serdyukov,The Russian Crusher,8,5,0,43,49,0,0.48,1.84,0.55,1.8,74,74,0,4.94,6.783333333,3.1,0.46,0.67
