,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
53,Albert Tumenov,Einstein,18.0,4.0,0,32.0,0,1.01,0.42,0.2,0.2,0.0,71,73,0.0,3.76,9.266666666666667,3.34,0.58,0.75
56,Alejandro Perez,Turbo,23.0,9.0,1,34.0,56,0.11,0.35,0.54,0.22,0.3,66,67,0.0,3.45,10.683333333333334,3.18,0.61,0.7
57,Aleksa Camur,113,6.0,3.0,0,28.0,112,0.23,0.57,0.46,0.22,0.0,73,74,0.0,4.73,13.166666666666666,4.26,0.54,0.5
58,Aleksandar Rakic,Rocket,14.0,3.0,0,31.0,44,0.66,0.5,0.82,0.25,0.2,76,78,0.0,4.01,11.383333333333333,2.3,0.53,0.9
59,Aleksei Kunchenko,399,20.0,2.0,0,39.0,0,0.0,0.44,0.25,0.33,0.0,68,70,0.0,3.67,15.0,2.83,0.63,0.8
60,Aleksei Oleinik,The Boa Constrictor,60.0,17.0,1,46.0,0,0.26,0.48,1.82,0.46,1.9,74,80,0.0,3.29,6.8,3.8,0.44,0.37
61,Alen Amedovski,25,8.0,4.0,0,35.0,91,0.0,0.3,0.0,0.0,0.0,70,74,0.0,0.99,5.066666666666666,3.85,0.46,0.0
62,Alessandro Costa,Nono,13.0,4.0,0,28.0,51,0.62,0.46,0.31,0.16,0.0,64,67,0.0,3.75,12.066666666666666,3.61,0.56,0.9
64,Alessio Di Chirico,Manzo,13.0,7.0,0,34.0,16,0.4,0.39,1.46,0.39,0.0,72,74,0.0,3.32,10.283333333333333,3.44,0.61,0.83
65,Alessio Sakara,Legionarius,19.0,11.0,0,42.0,69,0.79,0.47,2.18,0.78,0.0,72,72,0.0,3.96,5.033333333333333,2.8,0.59,0.62
67,Alex Caceres,Bruce Leeroy,21.0,14.0,0,35.0,69,0.22,0.5,0.56,0.68,0.7,70,73,1.0,4.16,11.916666666666666,2.93,0.63,0.64
68,Alex Chambers,Astro Girl,5.0,5.0,0,45.0,59,0.0,0.54,2.31,0.41,1.0,63,63,1.0,2.97,9.1,5.1,0.5,0.53
70,Alex Garcia,The Dominican Nightmare,15.0,6.0,0,36.0,14,0.38,0.31,3.72,0.52,0.1,69,72,0.0,1.81,11.7,3.03,0.59,0.66
72,Alex Gorgees,Hitman,6.0,1.0,0,28.0,59,0.0,0.32,0.0,0.0,0.0,74,74,3.0,0.67,15.0,2.27,0.38,0.54
74,Alex Karalexis,The Assassin,10.0,6.0,0,46.0,69,0.0,0.42,2.7,0.45,0.9,68,66,0.0,2.57,8.316666666666666,2.39,0.54,0.86
75,Alex Oliveira,Cowboy,22.0,12.0,1,35.0,51,0.43,0.51,2.35,0.38,0.6,71,76,0.0,2.99,9.566666666666666,2.55,0.46,0.63
76,Alex Pereira,Poatan,9.0,2.0,0,36.0,51,0.57,0.62,0.19,1.0,0.4,76,79,0.0,5.0,11.2,3.65,0.5,0.7
77,Alex Perez,532,24.0,7.0,0,31.0,69,0.78,0.48,2.84,0.44,1.3,66,65,0.0,4.67,5.8,3.14,0.6,0.77
78,Alex Reyes,The Executioner,13.0,4.0,0,37.0,69,0.0,0.39,0.0,0.0,0.0,71,73,0.0,4.04,2.4833333333333334,10.91,0.4,0.0
80,Alex Serdyukov,The Russian Crusher,8.0,5.0,0,43.0,69,0.0,0.48,1.84,0.55,1.8,74,74,0.0,4.94,6.783333333333333,3.1,0.46,0.67
83,Alex White,The Spartan,13.0,6.0,0,35.0,69,0.52,0.42,0.92,0.28,0.5,72,71,1.0,3.76,11.466666666666667,3.07,0.6,0.71
84,Alex da Silva,Leko,21.0,4.0,0,27.0,51,0.28,0.46,1.97,0.43,0.3,68,73,0.0,2.14,13.3,2.52,0.56,0.76
85,Alexa Grasso,283,16.0,3.0,1,30.0,56,0.08,0.43,0.41,0.45,0.6,65,66,0.0,4.67,15.1,3.95,0.58,0.59
86,Alexander Gustafsson,The Mauler,18.0,8.0,0,37.0,34,0.72,0.4,1.53,0.39,0.4,77,79,0.0,4.03,10.366666666666667,3.53,0.51,0.83
87,Alexander Hernandez,The Great Ape,14.0,7.0,0,31.0,69,0.4,0.41,1.2,0.31,0.1,69,72,0.0,4.63,9.4,4.9,0.56,0.6
89,Alexander Soldatkin,667,14.0,4.0,0,30.0,99,0.0,0.6,1.45,0.5,0.0,74,75,0.0,1.16,10.333333333333334,1.35,0.26,0.5
90,Alexander Volkanovski,The Great,26.0,3.0,0,35.0,59,0.37,0.57,1.84,0.37,0.2,66,71,0.0,6.19,16.3,3.42,0.58,0.7
91,Alexander Volkov,Drago,37.0,10.0,0,35.0,0,0.28,0.57,0.49,0.63,0.2,79,80,0.0,5.1,12.716666666666667,3.0,0.54,0.73
92,Alexander Yakovlev,Russian Thunder,24.0,10.0,1,39.0,0,0.3,0.47,1.66,0.35,0.1,75,74,1.0,1.74,11.016666666666667,2.41,0.58,0.72
93,Alexandr Romanov,King Kong,17.0,2.0,0,33.0,80,0.0,0.52,4.32,0.54,0.9,74,75,1.0,4.06,8.683333333333334,2.2,0.5,0.2
94,Alexandra Albu,Stitch,3.0,2.0,0,33.0,80,0.0,0.47,2.27,0.5,0.4,62,63,0.0,4.83,9.9,5.56,0.38,0.77
98,Alexandre Pantoja,The Cannibal,27.0,5.0,0,33.0,51,0.35,0.49,2.2,0.48,1.0,65,67,0.0,4.32,12.166666666666666,3.9,0.5,0.67
99,Alexis Davis,157,21.0,11.0,0,39.0,67,0.0,0.49,0.95,0.44,0.7,66,68,0.0,4.63,13.0,4.45,0.54,0.34
102,Alfred Khashakyan,The Fearless,8.0,3.0,0,35.0,99,0.0,0.42,3.54,0.25,0.0,68,70,0.0,6.14,4.233333333333333,6.38,0.4,0.0
103,Ali AlQaisi,The Royal Fighter,8.0,5.0,0,33.0,15,0.0,0.42,3.5,0.29,1.0,66,68,0.0,2.43,15.0,1.97,0.56,0.6
104,Ali Bagautinov,Puncher,15.0,6.0,0,38.0,0,0.26,0.42,2.51,0.36,0.3,64,65,0.0,2.85,16.216666666666665,3.09,0.52,0.65
105,Aliaskhab Khizriev,Black Wolf,14.0,0.0,0,33.0,0,0.0,0.64,5.77,0.6,3.9,69,74,1.0,6.03,3.9,4.36,0.62,1.0
106,Alistair Overeem,The Demolition Man,47.0,19.0,0,43.0,40,0.79,0.64,1.42,0.55,0.8,76,80,0.0,3.67,7.3,2.44,0.57,0.73
107,Aljamain Sterling,Funk Master,23.0,4.0,0,34.0,69,0.0,0.52,1.97,0.24,0.8,67,71,0.0,4.73,13.2,2.41,0.58,0.45
108,Allan Begosso,Mini,7.0,2.0,1,28.0,99,0.0,0.4,0.0,0.0,2.0,65,66,0.0,1.8,15.0,7.73,0.34,0.25
111,Allen Crowder,Pretty Boy,10.0,4.0,0,34.0,69,0.0,0.51,1.85,0.33,1.2,75,76,0.0,2.95,6.1,2.95,0.56,1.0
112,Alptekin Ozkilic,The Turkish Delight,9.0,5.0,0,37.0,55,0.0,0.32,4.21,0.58,0.0,65,65,0.0,3.81,12.466666666666667,5.72,0.59,0.75
113,Alton Cunningham,The BoMan,4.0,2.0,0,30.0,69,0.0,0.75,1.67,0.1,0.0,74,77,0.0,3.33,9.016666666666667,4.94,0.2,1.0
114,Alton Meeks,Murda,1.0,1.0,0,29.0,69,0.0,0.42,7.06,0.25,0.0,77,75,0.0,0.71,4.25,4.47,0.38,0.0
115,Alvaro Herrera,Chango,9.0,6.0,0,33.0,56,1.13,0.38,0.0,0.0,1.1,72,74,0.0,1.89,3.3166666666666664,3.4,0.55,0.33
116,Alvin Robinson,Kid,15.0,9.0,0,41.0,69,0.0,0.5,1.24,0.5,1.2,69,68,1.0,1.57,9.1,1.29,0.51,0.25
117,Amanda Cooper,ABC,3.0,5.0,0,32.0,69,0.0,0.44,1.53,0.38,1.8,63,64,3.0,3.55,8.183333333333334,3.2,0.51,0.28
