name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Bogdan Grad,The Unleashed,11,2,0,"5' 8""",155 lbs.,"70""",Orthodox,28-Sep-95,1.45,50%,9.4,45%,0,0%,0%,0
Steven Graham,,2,1,0,"6' 1""",290 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Scott Graham,,3,1,0,"6' 4""",185 lbs.,--,Orthodox,--,0.91,42%,2.27,28%,0,0%,0%,0
Miranda Granger,Danger,7,3,0,"5' 7""",115 lbs.,"68""",Orthodox,13-Apr-92,2.79,47%,2.57,57%,0,0%,33%,0
TJ Grant,,21,5,0,"5' 10""",155 lbs.,"72""",Orthodox,26-Feb-84,3.95,54%,3.21,56%,1.63,43%,36%,0.6
Davey Grant,Dangerous,15,7,0,"5' 8""",135 lbs.,"69""",Orthodox,18-Dec-85,4.77,42%,3.82,55%,1.26,41%,61%,0.2
Dwight Grant,The Body Snatcher,11,6,0,"6' 1""",185 lbs.,"76""",Switch,14-Sep-84,3.29,36%,2.66,60%,0.61,100%,66%,0
Alexa Grasso,,16,3,1,"5' 5""",125 lbs.,"66""",Orthodox,9-Aug-93,4.67,43%,3.95,58%,0.41,45%,59%,0.6
Tony Gravely,,23,9,0,"5' 5""",135 lbs.,"69""",Orthodox,28-Sep-91,3.82,48%,4.47,44%,5.4,41%,52%,0.3
Michael Graves,,6,0,1,"5' 10""",170 lbs.,"71""",Orthodox,8-Jan-91,1.25,54%,1.47,58%,4.8,52%,66%,0.4
Shelton Graves,The Gravedigger,7,3,0,"6' 2""",255 lbs.,"76""",Southpaw,23-Oct-85,2.19,69%,0.81,33%,4.86,57%,0%,0
James Gray,The Phenom,4,1,0,"5' 9""",135 lbs.,--,Orthodox,25-Oct-87,2.61,50%,18.26,44%,0,0%,0%,0
Kevin Gray,Pocket Herc,9,4,0,"5' 4""",125 lbs.,"67""",Orthodox,3-May-85,3.45,62%,4.48,66%,0,0%,0%,0
Sam Greco,,3,1,1,"6' 2""",205 lbs.,--,Orthodox,3-May-67,2.4,75%,1.33,53%,0,0%,25%,1
Bobby Green,King,31,15,1 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,9-Sep-86,6.14,52%,3.74,62%,1.2,37%,74%,0.3
Desmond Green,The Predator,23,8,0,"5' 10""",155 lbs.,"73""",Southpaw,11-Oct-89,3.7,46%,2.51,69%,1.62,50%,75%,0
Gabe Green,Gifted,11,5,0,"5' 10""",170 lbs.,"73""",Switch,2-May-93,6.28,45%,6.95,47%,0.83,50%,53%,0.3
Maurice Greene,The Crochet Boss,9,7,0,"6' 7""",258 lbs.,"80""",Orthodox,5-Jul-86,3.28,45%,3.61,45%,0,0%,27%,0.4
Matt Grice,The Real One,15,5,0,"5' 8""",145 lbs.,"70""",Orthodox,29-Jul-81,4.09,53%,2.69,56%,2.19,37%,82%,0.5
Forrest Griffin,,19,7,0,"6' 3""",205 lbs.,"77""",Orthodox,16-Mar-79,4.38,36%,2.81,61%,1.05,48%,57%,0.7
Tyson Griffin,,16,8,0,"5' 6""",145 lbs.,"68""",Orthodox,20-Apr-84,3.71,41%,2.3,65%,1.87,46%,59%,0.9
Max Griffin,Pain,19,10,0,"5' 11""",170 lbs.,"76""",Orthodox,29-Nov-85,4.09,49%,3.94,57%,1.48,41%,69%,0.3
Jordan Griffin,Native Psycho,18,9,0,"5' 10""",145 lbs.,"73""",Southpaw,28-Feb-90,2.52,46%,3.02,50%,1.45,35%,42%,1.9
Chad Griggs,The Grave Digger,11,3,0,"6' 1""",205 lbs.,"73""",Orthodox,15-May-78,2.67,50%,2.22,46%,1.51,66%,41%,0
Charalampos Grigoriou,Ferocious,8,3,0,"5' 7""",135 lbs.,"67""",Orthodox,31-Mar-92,13,65%,4,63%,0,0%,0%,0
Chuck Grigsby,The Reverend,23,10,0,"6' 6""",205 lbs.,--,Orthodox,--,0.71,16%,3.29,46%,0,0%,66%,0
Rodrigo Gripp de Sousa,Riscado,7,9,0,"5' 11""",205 lbs.,--,Orthodox,--,0.48,23%,4.81,52%,0,0%,0%,9.6
Maxim Grishin,Maximus,32,10,2,"6' 3""",205 lbs.,"78""",Orthodox,2-May-84,3.26,52%,2.27,58%,0.21,16%,66%,0
Josh Grispi,The Fluke,14,5,0,"5' 11""",145 lbs.,"74""",Orthodox,14-Oct-88,1.44,41%,3.71,50%,1.97,36%,16%,2.2
