fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Leon Edwards vs Colby Covington,Leon Edwards,Colby Covington,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,yes,Main Event,21,17,3,3,0,0,32,35,Held by Edwards,United Kingdom,United States,66%,34%
Alexandre Pantoja vs Brandon Royval,Alexandre Pantoja,Brandon Royval,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,yes,Co-Main Event,26,15,5,6,0,0,33,31,Held by Pantoja,Brazil,United States,14%,86%
Shavkat Rakhmonov vs Stephen Thompson,Shavkat Rakhmonov,Stephen Thompson,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,17,17,0,6,0,1,29,40,,Kazakhstan,United States,9%,91%
Paddy Pimblett vs Tony Ferguson,Paddy Pimblett,Tony Ferguson,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,20,25,3,9,0,0,28,39,,England,United States,32%,68%
Josh Emmett vs Bryce Mitchell,Josh Emmett,Bryce Mitchell,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,18,16,4,1,0,0,38,29,,United States,United States,33%,67%
Alonzo Menifield vs Dustin Jacoby,Alonzo Menifield,Dustin Jacoby,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,19,3,7,1,1,36,35,,United States,United States,71%,29%
Irene Aldana vs Karol Rosa,Irene Aldana,Karol Rosa,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,17,7,5,0,0,35,28,,Mexico,Brazil,12%,88%
Cody Garbrandt vs Brian Kelleher,Cody Garbrandt,Brian Kelleher,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,13,24,5,14,0,0,32,37,,United States,United States,17%,83%
Ariane Lipski vs Casey O'Neill,Ariane Lipski,Casey O'Neill,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,16,9,8,1,0,0,29,26,,Brazil,Scotland,78%,22%
Tagir Ulanbekov vs Cody Durden,Tagir Ulanbekov,Cody Durden,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,16,2,4,0,1,32,32,,Russia,United States,69%,31%
Andre Fili vs Lucas Almeida,Andre Fili,Lucas Almeida,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,22,14,10,2,0,0,33,32,,United States,Brazil,78%,22%
Shamil Gaziev vs Martin Buday,Shamil Gaziev,Martin Buday,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,11,13,0,1,0,0,33,32,,Bahrain,Slovak Republic,66%,34%
Yadong Song vs Chris Gutierrez,Yadong Song,Chris Gutierrez,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Event,20,20,7,4,1,2,26,32,,China,United States,10%,90%
Khalil Rountree Jr. vs Anthony Smith,Khalil Rountree Jr.,Anthony Smith,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Co-Main Event,12,37,5,18,0,0,33,35,,United States,United States,24%,76%
Nasrat Haqparast vs Jamie Mullarkey,Nasrat Haqparast,Jamie Mullarkey,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,15,17,5,6,0,0,28,29,,Afghanistan,Australia,21%,79%
Tim Elliott vs Sumudaerji,Tim Elliott,Sumudaerji,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,19,16,13,5,1,0,36,27,,United States,China,25%,75%
André Muniz vs Jun Yong Park,André Muniz,Jun Yong Park,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,23,17,6,5,0,0,33,32,,Brazil,South Korea,21%,79%
Kevin Jousset vs Kenan Song,Kevin Jousset,Kenan Song,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,9,21,2,7,0,0,30,33,,France,China,32%,68%
Hyun Sung Park vs Shannon Ross,Hyun Sung Park,Shannon Ross,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,8,13,0,8,0,0,28,34,,South Korea,Australia,4%,96%
Steve Garcia vs Melquizael Costa,Steve Garcia,Melquizael Costa,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,14,20,5,6,0,0,31,27,,United States,Brazil,74%,26%
Luana Santos vs Stephanie Egger,Luana Santos,Stephanie Egger,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,6,8,1,4,0,0,23,35,,Brazil,Switzerland,79%,21%
Tatsuro Taira vs Carlos Hernandez,Tatsuro Taira,Carlos Hernandez,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,14,9,0,2,0,0,23,30,,Japan,United States,5%,95%
Talita Alencar vs Rayanne Amanda,Talita Alencar,Rayanne Amanda,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,4,14,0,6,1,0,33,28,,Brazil,Brazil,65%,35%
Arman Tsarukyan vs Beneil Dariush,Arman Tsarukyan,Beneil Dariush,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Event,20,22,3,5,0,1,27,34,,Armenia,Assyria,61%,39%
Jalin Turner vs Bobby Green,Jalin Turner,Bobby Green,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Co-Main Event,13,31,7,14,0,1,28,37,,United States,,60%,40%
Deiveson Figueiredo vs Rob Font,Deiveson Figueiredo,Rob Font,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,21,20,3,7,1,0,35,36,,Brazil,United States,50%,50%
Sean Brady vs Kelvin Gastelum,Sean Brady,Kelvin Gastelum,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,15,18,1,8,0,0,31,32,,United States,,63%,37%
Joaquim Silva vs Clay Guida,Joaquim Silva,Clay Guida,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,12,38,4,23,0,0,34,41,,Brazil,United States,78%,22%
Dustin Stoltzfus vs Punahele Soriano,Dustin Stoltzfus,Punahele Soriano,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,14,9,5,3,0,0,32,31,,United States,United States,94%,6%
Miesha Tate vs Julia Avila,Miesha Tate,Julia Avila,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,19,9,9,2,0,0,37,35,,United States,United States,31%,69%
Cody Brundage vs Zach Reese,Cody Brundage,Zach Reese,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,9,6,5,0,0,0,29,29,,United States,United States,89%,11%
Drakkar Klose vs Joe Solecki,Drakkar Klose,Joe Solecki,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,13,13,2,3,1,0,35,30,,United States,United States,28%,72%
Rodolfo Bellato vs Ihor Potieria,Rodolfo Bellato,Ihor Potieria,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,11,20,2,4,0,0,27,27,,Brazil,Ukraine,90%,10%
Jared Gooden vs Wellington Turman,Jared Gooden,Wellington Turman,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,22,18,9,7,0,0,29,27,,United States,Brazil,24%,76%
Veronica Hardy vs Jamey-Lyn Horth,Veronica Hardy,Jamey-Lyn Horth,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,7,6,4,0,1,0,28,33,,Venezuela,Canada,64%,36%
Brendan Allen vs Paul Craig,Brendan Allen,Paul Craig,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Event,22,17,5,6,0,1,27,35,,United States,Scotland,74%,26%
Michael Morales vs Jake Matthews,Michael Morales,Jake Matthews,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Co-Main Event,15,19,0,6,0,0,24,29,,Ecuador,Australia,12%,88%
Chase Hooper vs Jordan Leavitt,Chase Hooper,Jordan Leavitt,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,12,11,3,2,1,0,24,28,,United States,United States,47%,53%
Payton Talbott vs Nick Aguirre,Payton Talbott,Nick Aguirre,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,6,7,0,1,0,0,25,27,,United States,United States,92%,8%
Amanda Ribas vs Luana Pinheiro,Amanda Ribas,Luana Pinheiro,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,11,11,4,1,0,0,30,30,,Brazil,Brazil,24%,76%
Myktybek Orolbai vs Uros Medic,Myktybek Orolbai,Uros Medic,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,11,9,1,1,1,0,25,30,,Kyrgyzstan,Serbia,27%,73%
Joanderson Brito vs Jonathan Pearce,Joanderson Brito,Jonathan Pearce,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,15,14,3,4,1,0,28,31,,Brazil,United States,49%,51%
Jose Johnson vs Chad Anheliger,Jose Johnson,Chad Anheliger,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,15,12,8,6,0,0,28,36,,United States,Canada,30%,70%
Christian Leroy Duncan vs Denis Tiuliulin,Christian Leroy Duncan,Denis Tiuliulin,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,8,11,1,8,0,0,28,35,,England,Russia,5%,95%
Mick Parkin vs Caio Machado,Mick Parkin,Caio Machado,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,7,8,0,1,0,1,28,29,,England,Brazil,11%,89%
Jeka Saragih vs Lucas Alexander,Jeka Saragih,Lucas Alexander,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,13,8,3,3,0,0,28,28,,Indonesia,Brazil,12%,88%
Ailin Perez vs Lucie Pudilová,Ailin Perez,Lucie Pudilová,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,8,14,2,8,0,0,29,29,,Argentina,Czech Republic,68%,32%
Nikolas Motta vs Trey Ogden,,,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,13,16,5,6,0,0,30,34,,Brazil,United States,36%,64%
Rafael Estevam vs Charles Johnson,Rafael Estevam,Charles Johnson,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,11,13,0,5,0,0,27,32,,Brazil,United States,29%,71%
Alex Pereira vs Jiří Procházka,Alex Pereira,Jiří Procházka,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,yes,Main Event,8,29,2,3,0,1,36,31,Vacant,Brazil,Czech Republic,56%,44%
Tom Aspinall vs Sergei Pavlovich,Tom Aspinall,Sergei Pavlovich,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,yes,Co-Main Event,13,18,3,1,0,0,30,31,Vacant,England,Russia,55%,45%
Jéssica Andrade vs Mackenzie Dern,Jéssica Andrade,Mackenzie Dern,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Main Card,24,13,12,3,0,0,32,30,,Brazil,United States,83%,17%
Benoit Saint-Denis vs Matt Frevola,Benoit Saint-Denis,Matt Frevola,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Main Card,12,11,1,3,0,1,27,33,,France,United States,27%,73%
Diego Lopes vs Pat Sabatini,Diego Lopes,Pat Sabatini,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Main Card,22,18,6,4,0,0,28,33,,Brazil,United States,26%,74%
Steve Erceg vs Alessandro Costa,Steve Erceg,Alessandro Costa,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,10,13,1,3,0,0,28,27,,Australia,Brazil,85%,15%
Lupita Godinez vs Tabatha Ricci,Lupita Godinez,Tabatha Ricci,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,11,9,3,1,0,0,30,28,,Mexico,Brazil,45%,55%
Mateusz Rębecki vs Roosevelt Roberts,Mateusz Rębecki,Roosevelt Roberts,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,18,12,1,3,0,0,31,29,,Poland,United States,92%,8%
Nazim Sadykhov vs Viacheslav Borshchev,,,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,9,7,1,3,0,0,29,31,,Azerbaijan,Russia,77%,23%
Jared Gordon vs Mark Madsen,Jared Gordon,Mark Madsen,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,19,12,6,1,0,0,35,39,,United States,Denmark,44%,56%
John Castañeda vs Kyung Ho Kang,John Castañeda,Kyung Ho Kang,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,20,19,6,9,0,0,31,36,,United States,South Korea,46%,54%
Joshua Van vs Kevin Borjas,Joshua Van,Kevin Borjas,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,8,9,1,1,0,0,22,25,,Myanmar,Peru,87%,13%
Jamall Emmers vs Dennis Buzukja,Jamall Emmers,Dennis Buzukja,UFC 295: Procházka vs. Pereira,11.11.2023,Madison Square Garden,no,Preliminary Card,19,11,7,3,0,0,34,26,,United States,United States,78%,22%
Jailton Almeida vs Derrick Lewis,Jailton Almeida,Derrick Lewis,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Main Event,19,27,2,11,0,0,32,38,,Brazil,United States,83%,17%
Nicolas Dalby vs Gabriel Bonfim,Nicolas Dalby,Gabriel Bonfim,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Co-Main Event,22,15,4,0,1,0,38,26,,Denmark,Brazil,93%,7%
Rodrigo Nascimento vs Don'Tale Mayes,Rodrigo Nascimento,Don'Tale Mayes,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Main Card,10,10,1,5,0,0,30,31,,Brazil,United States,89%,11%
Caio Borralho vs Abus Magomedov,Caio Borralho,Abus Magomedov,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Main Card,14,25,1,5,0,1,30,33,,Brazil,Germany,10%,90%
Elves Brener vs Kaynan Kruschewsky,Elves Brener,Kaynan Kruschewsky,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Main Card,15,15,3,1,0,0,26,32,,Brazil,Brazil,14%,86%
Elizeu Zaleski vs Rinat Fakhretdinov,,,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Preliminary Card,24,22,7,2,0,0,36,32,,Brazil,Russia,93%,7%
Vitor Petrino vs Modestas Bukauskas,Vitor Petrino,Modestas Bukauskas,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Preliminary Card,9,15,0,5,0,0,26,29,,Brazil,Lithuania,17%,83%
Angela Hill vs Denise Gomes,Angela Hill,Denise Gomes,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Preliminary Card,15,8,13,2,0,0,38,23,,United States,Brazil,68%,32%
Eduarda Moura vs Montserrat Conejo Ruiz,Eduarda Moura,Montserrat Conejo Ruiz,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Preliminary Card,9,10,0,3,0,0,29,30,,Brazil,Mexico,93%,7%
Marc Diakiese vs Kauê Fernandes,Marc Diakiese,Kauê Fernandes,UFC Fight Night: Almeida vs. Lewis,11.04.2023,Ibirapuera Gymnasium,no,Preliminary Card,16,8,7,1,0,0,30,28,,England,Brazil,30%,70%
Islam Makhachev vs Alexander Volkanovski,Islam Makhachev,Alexander Volkanovski,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,yes,Main Event,24,26,1,2,0,0,31,35,Held by Makhachev,Russia,Australia,58%,42%
Khamzat Chimaev vs Kamaru Usman,Khamzat Chimaev,Kamaru Usman,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Co-Main Event,12,20,0,3,0,0,29,36,,United Arab Emirates,Nigeria,79%,21%
Magomed Ankalaev vs Johnny Walker,,,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Main Card,18,21,1,7,1,0,31,31,,Russia,Brazil,24%,76%
Ikram Aliskerov vs Warlley Alves,Ikram Aliskerov,Warlley Alves,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Main Card,14,14,1,6,0,0,30,32,,Russia,Brazil,97%,3%
Said Nurmagomedov vs Muin Gafurov,Said Nurmagomedov,Muin Gafurov,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Main Card,17,18,3,5,0,0,31,27,,Russia,Tajikistan,96%,4%
Muhammad Mokaev vs Tim Elliott,Muhammad Mokaev,Tim Elliott,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,9,19,0,12,0,1,23,36,,United Kingdom,United States,14%,86%
Trevor Peek vs Mohammad Yahya,Trevor Peek,Mohammad Yahya,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,8,12,1,3,0,0,28,29,,United States,United Arab Emirates,32%,68%
Javid Basharat vs Victor Henry,,,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,14,23,0,6,0,0,28,36,,Afghanistan,United States,5%,95%
Sedriques Dumas vs Abu Azaitar,Sedriques Dumas,Abu Azaitar,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,8,14,1,3,0,1,28,37,,United States,Germany,80%,20%
Mike Breeden vs Anshul Jubli,Mike Breeden,Anshul Jubli,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,10,7,6,0,0,0,34,28,,United States,India,8%,92%
Muhammad Naimov vs Nathaniel Wood,Muhammad Naimov,Nathaniel Wood,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,9,19,2,5,0,0,29,30,,Tajikistan,England,18%,82%
Victoria Dudakova vs Jinh Yu Frey,Victoria Dudakova,Jinh Yu Frey,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,7,11,0,9,0,0,24,38,,Russia,United States,95%,5%
Shara Magomedov vs Bruno Silva,Shara Magomedov,Bruno Silva,UFC 294: Makhachev vs. Volkanovski 2,10.21.2023,Etihad Arena,no,Preliminary Card,11,23,0,9,0,0,29,34,,Russia,Brazil,16%,84%
Edson Barboza vs Sodiq Yusuff,Edson Barboza,Sodiq Yusuff,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Main Event,23,13,11,2,0,0,37,30,,Brazil,Nigeria,42%,58%
Viviane Araujo vs Jennifer Maia,Viviane Araujo,Jennifer Maia,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Co-Main Event,11,21,5,9,0,1,36,35,,Brazil,Brazil,16%,84%
Jonathan Martinez vs Adrian Yanez,Jonathan Martinez,Adrian Yanez,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Main Card,18,16,4,4,0,0,29,29,,United States,United States,49%,51%
Michel Pereira vs Andre Petroski,Michel Pereira,Andre Petroski,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Main Card,28,10,11,1,0,0,30,32,,Brazil,United States,26%,74%
Christian Rodriguez vs Cameron Saaiman,Christian Rodriguez,Cameron Saaiman,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Main Card,9,9,1,0,0,0,25,22,,United States,South Africa,78%,22%
Darren Elkins vs TJ Brown,Darren Elkins,TJ Brown,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,27,17,11,10,0,0,39,33,,United States,United States,37%,63%
Tainara Lisboa vs Ravena Oliveira,Tainara Lisboa,Ravena Oliveira,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,6,7,2,1,0,1,32,26,,Brazil,Brazil,83%,17%
Terrance McKinney vs Brendon Marotte,Terrance McKinney,Brendon Marotte,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,14,8,6,1,0,0,29,27,,United States,United States,6%,94%
Melissa Dixon vs Irina Alekseeva,Melissa Dixon,Irina Alekseeva,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,5,5,0,1,0,0,32,33,,England,Russia,57%,43%
Chris Gutierrez vs Alatengheili,Chris Gutierrez,Alatengheili,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,19,16,4,8,2,2,32,31,,United States,China,92%,8%
Emily Ducote vs Ashley Yoder,Emily Ducote,Ashley Yoder,UFC Fight Night: Yusuff vs. Barboza,10.14.2023,UFC Apex,no,Preliminary Card,12,8,8,8,0,0,29,35,,United States,United States,7%,93%
Bobby Green vs Grant Dawson,Bobby Green,Grant Dawson,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Main Event,30,20,14,1,1,1,37,29,,United States,United States,92%,8%
Joe Pyfer vs Abdul Razak Alhassan,Joe Pyfer,Abdul Razak Alhassan,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Co-Main Event,11,12,2,5,0,0,27,38,,United States,Ghana,9%,91%
Joaquin Buckley vs Alex Morono,Joaquin Buckley,Alex Morono,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Main Card,16,23,6,8,0,0,29,33,,United States,United States,68%,32%
Drew Dober vs Ricky Glenn,Drew Dober,Ricky Glenn,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Main Card,26,22,12,7,0,2,34,34,,United States,United States,96%,4%
Bill Algeo vs Alexander Hernandez,Bill Algeo,Alexander Hernandez,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Main Card,17,14,7,6,0,0,34,31,,United States,United States,26%,74%
Karolina Kowalkiewicz vs Diana Belbiţă,Karolina Kowalkiewicz,Diana Belbiţă,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Preliminary Card,15,15,7,7,0,0,37,27,,Poland,Romania,82%,18%
Nate Maness vs Mateus Mendonça,Nate Maness,Mateus Mendonça,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Preliminary Card,14,10,3,1,0,0,32,24,,United States,Brazil,81%,19%
Vanessa Demopoulos vs Kanako Murata,Vanessa Demopoulos,Kanako Murata,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Preliminary Card,9,12,5,2,0,0,35,30,,Greece,Japan,19%,81%
Aoriqileng vs Johnny Munoz Jr.,Aoriqileng,Johnny Munoz Jr.,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Preliminary Card,24,12,11,3,0,0,30,30,,China,United States,62%,38%
JJ Aldrich vs Montana De La Rosa,JJ Aldrich,Montana De La Rosa,UFC Fight Night: Dawson vs. Green,10.07.2023,UFC Apex,no,Preliminary Card,12,12,6,8,0,1,31,28,,United States,United States,58%,42%
Mateusz Gamrot vs Rafael Fiziev,Mateusz Gamrot,Rafael Fiziev,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Main Event,22,12,2,2,0,0,32,30,,Poland,Azerbaijan,32%,68%
Bryce Mitchell vs Dan Ige,Bryce Mitchell,Dan Ige,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Co-Main Event,15,17,1,6,0,0,28,32,,United States,United States,28%,72%
Marina Rodriguez vs Michelle Waterson-Gomez,Marina Rodriguez,Michelle Waterson-Gomez,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Main Card,16,18,3,11,2,0,36,37,,Brazil,United States,8%,92%
Bryan Battle vs AJ Fletcher,Bryan Battle,AJ Fletcher,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Main Card,9,10,2,2,0,0,29,26,,United States,United States,8%,92%
Charles Jourdain vs Ricardo Ramos,Charles Jourdain,Ricardo Ramos,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Main Card,14,16,6,4,1,0,27,28,,Canada,Brazil,79%,21%
Miles Johns vs Dan Argueta,Miles Johns,Dan Argueta,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,13,9,2,1,0,0,29,30,,United States,United States,72%,28%
Tim Means vs Andre Fialho,Tim Means,Andre Fialho,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,32,16,15,7,1,0,39,29,,United States,Portugal,71%,29%
Cody Brundage vs Jacob Malkoun,Cody Brundage,Jacob Malkoun,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,8,7,5,2,0,0,29,28,,United States,Australia,93%,7%
Mohammed Usman vs Jake Collier,Mohammed Usman,Jake Collier,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,9,13,2,9,0,0,34,34,,Nigeria,United States,84%,16%
Mizuki Inoue vs Hannah Goldy,Mizuki Inoue,Hannah Goldy,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,14,6,6,3,0,0,29,31,,Japan,United States,11%,89%
Montserrat Rendon vs Tamires Vidal,Montserrat Rendon,Tamires Vidal,UFC Fight Night: Fiziev vs. Gamrot,09.23.2023,UFC Apex,no,Preliminary Card,5,7,0,1,0,0,34,25,,Mexico,Brazil,87%,13%
Alexa Grasso vs Valentina Shevchenko,,,UFC Fight Night: Grasso vs. Shevchenko 2,09.16.2023,T-Mobile Arena,yes,Main Event,16,23,3,4,0,0,30,35,Held by Grasso,Mexico,Kyrgyzstan,40%,60%
Jack Della Maddalena vs Kevin Holland,Jack Della Maddalena,Kevin Holland,UFC Fight Night: Grasso vs. Shevchenko 2,09.16.2023,T-Mobile Arena,no,Co-Main Event,15,25,2,9,0,0,27,30,,Australia,United States,53%,47%
Raul Rosas Jr. vs Terrence Mitchell,Raul Rosas Jr.,Terrence Mitchell,UFC Fight Night: Grasso vs. Shevchenko 2,09.16.2023,T-Mobile Arena,no,Main Card,7,14,1,3,0,0,18,33,,United States,United States,90%,10%
Daniel Zellhuber vs Christos Giagos,Daniel Zellhuber,Christos Giagos,UFC Fight Night: Grasso vs. Shevchenko 2,09.16.2023,T-Mobile Arena,no,Main Card,13,20,1,10,0,0,24,33,,Mexico,United States,85%,15%
Kyle Nelson vs Fernando Padilla,Kyle Nelson,Fernando Padilla,UFC Fight Night: Grasso vs. Shevchenko 2,09.16.2023,T-Mobile Arena,no,Main Card,14,15,5,4,1,0,32,26,,Canada,Mexico,91%,9%
