name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
AJ Cunningham,The Savage,10.0,3.0,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,3,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0
AJ Fonseca,!,5.0,4.0,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
AJ Matthews,!,8.0,7.0,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,7,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0
AJ McKee,Mercenary,8.0,0.0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0,,,,,,,,,,,,,,,,,,,,left_only,8,0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0
AJ Siscoe,Lets Go,1.0,2.0,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,2,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Ely,The Cyborg,5.0,2.0,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9,,,,,,,,,,,,,,,,,,,,left_only,5,2,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Aaron Lanfranco,!,5.0,1.0,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,1,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Miller,Blood Spiller,14.0,10.0,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,10,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Trujillo,!,0.0,1.0,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Wetherspoon,Slam,9.0,5.0,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,5,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0
Abel Cullum,The Silent Assassin,20.0,6.0,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8,,,,,,,,,,,,,,,,,,,,left_only,20,6,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8
Abongo Humphrey,!,7.0,3.0,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8,,,,,,,,,,,,,,,,,,,,left_only,7,3,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8
Abram Torres,!,4.0,3.0,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,3,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Acacio Dos Santos,Pequeno,14.0,5.0,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,5,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0
Achmed Labasanov,!,7.0,4.0,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8
Adam Lynn,!,17.0,10.0,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,10,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0
Adam Meredith,!,5.0,3.0,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9,,,,,,,,,,,,,,,,,,,,left_only,5,3,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9
Adam Milstead,The Prototype,8.0,4.0,0,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,3.85,46%,4.79,43%,0.0,0%,64%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,3.85,46%,4.79,43%,0.0,0%,64%,0.0
Adam Piccolotti,!,9.0,0.0,0,"5' 11""",155 lbs.,--,,23-Oct-88,4.61,50%,2.83,71%,2.96,60%,100%,3.0,,,,,,,,,,,,,,,,,,,,left_only,9,0,0,"5' 11""",155 lbs.,--,,23-Oct-88,4.61,50%,2.83,71%,2.96,60%,100%,3.0
Adam Schindler,!,10.0,6.0,0,"5' 8""",155 lbs.,--,,19-May-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,6,0,"5' 8""",155 lbs.,--,,19-May-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Smith,!,0.0,3.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,3,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Steele,!,0.0,1.0,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adin Duenas,!,6.0,1.0,0,"5' 6""",145 lbs.,--,,2-Jul-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,1,0,"5' 6""",145 lbs.,--,,2-Jul-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adrienna Jenkins,AJ,19.0,6.0,0,"5' 8""",145 lbs.,--,,22-Jul-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,19,6,0,"5' 8""",145 lbs.,--,,22-Jul-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Ailiya Muratbek,!,9.0,2.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,2,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aji Susilo,!,6.0,4.0,0,"5' 10""",155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,4,0,"5' 10""",155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Akihito Tanaka,Kinniku Mantaro,2.0,2.0,0,--,--,--,Southpaw,--,0.19,50%,2.05,38%,5.59,66%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,2,0,--,--,--,Southpaw,--,0.19,50%,2.05,38%,5.59,66%,0%,0.0
Akira Kikuchi,!,16.0,4.0,0,"5' 8""",155 lbs.,--,Orthodox,23-Jul-78,3.67,56%,0.4,14%,2.0,40%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,16,4,0,"5' 8""",155 lbs.,--,Orthodox,23-Jul-78,3.67,56%,0.4,14%,2.0,40%,100%,0.0
Akira Shoji,!,14.0,17.0,5,"5' 8""",195 lbs.,--,Orthodox,31-Jan-74,1.03,34%,2.63,53%,1.79,73%,82%,0.4,,,,,,,,,,,,,,,,,,,,left_only,14,17,5,"5' 8""",195 lbs.,--,Orthodox,31-Jan-74,1.03,34%,2.63,53%,1.79,73%,82%,0.4
Akiyo Nishiura,Wicky Akiyo,13.0,8.0,1,"5' 8""",139 lbs.,--,Southpaw,8-Aug-83,1.59,57%,1.26,57%,0.0,0%,52%,0.3,,,,,,,,,,,,,,,,,,,,left_only,13,8,1,"5' 8""",139 lbs.,--,Southpaw,8-Aug-83,1.59,57%,1.26,57%,0.0,0%,52%,0.3
Alan Gomez,!,2.0,0.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alan Hiro,Yamaniha,14.0,5.0,4,"5' 5""",135 lbs.,--,Orthodox,4-Apr-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,5,4,"5' 5""",135 lbs.,--,Orthodox,4-Apr-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alavutdin Gadjiev,!,18.0,13.0,1,"6' 2""",185 lbs.,--,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,13,1,"6' 2""",185 lbs.,--,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0.0,0%,50%,0.0
Albert Morales,The Warrior,7.0,4.0,1,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,35%,3.96,56%,0.91,35%,70%,0.2,,,,,,,,,,,,,,,,,,,,left_only,7,4,1,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,35%,3.96,56%,0.91,35%,70%,0.2
Albert Rios,!,13.0,6.0,0,"5' 8""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,6,0,"5' 8""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberta Cerra Leon,!,0.0,1.0,0,"5' 8""",238 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 8""",238 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberto Mina,Soldier of God,13.0,1.0,0,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,1,0,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0.0
Alberto Montes,The Promise,4.0,0.0,0,"5' 7""",135 lbs.,--,,31-May-94,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,0,0,"5' 7""",135 lbs.,--,,31-May-94,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberto Uda,!,12.0,2.0,0,"6' 3""",185 lbs.,--,Orthodox,8-Aug-84,1.79,52%,3.49,45%,2.83,50%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,12,2,0,"6' 3""",185 lbs.,--,Orthodox,8-Aug-84,1.79,52%,3.49,45%,2.83,50%,66%,0.0
Alejandro Garcia,Alex,14.0,10.0,0 (1 NC),"5' 7""",145 lbs.,--,,--,1.22,62%,1.14,65%,8.55,87%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,10,0 (1 NC),"5' 7""",145 lbs.,--,,--,1.22,62%,1.14,65%,8.55,87%,66%,0.0
Alejandro Villalobos,!,17.0,5.0,0,"5' 7""",145 lbs.,--,,26-Oct-79,3.93,46%,4.07,67%,1.0,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,5,0,"5' 7""",145 lbs.,--,,26-Oct-79,3.93,46%,4.07,67%,1.0,50%,0%,0.0
Aleksander Emelianenko,!,23.0,7.0,0,"6' 6""",255 lbs.,--,Orthodox,2-Aug-81,2.75,41%,1.7,65%,2.32,72%,66%,0.9,,,,,,,,,,,,,,,,,,,,left_only,23,7,0,"6' 6""",255 lbs.,--,Orthodox,2-Aug-81,2.75,41%,1.7,65%,2.32,72%,66%,0.9
Aleksandra Albu,Stitch,3.0,2.0,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,4.83,47%,5.56,38%,2.27,50%,77%,0.4,,,,,,,,,,,,,,,,,,,,left_only,3,2,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,4.83,47%,5.56,38%,2.27,50%,77%,0.4
Alex Crispin,!,0.0,1.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alex Da Silva,Leko,21.0,4.0,0,"5' 8""",155 lbs.,"73""",Orthodox,4-Feb-96,2.14,46%,2.52,56%,1.97,43%,76%,0.3,,,,,,,,,,,,,,,,,,,,left_only,21,4,0,"5' 8""",155 lbs.,"73""",Orthodox,4-Feb-96,2.14,46%,2.52,56%,1.97,43%,76%,0.3
Alex Dunworth,!,2.0,2.0,0 (1 NC),"5' 8""",155 lbs.,--,,--,1.94,31%,8.71,35%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,2,0 (1 NC),"5' 8""",155 lbs.,--,,--,1.94,31%,8.71,35%,0.0,0%,50%,0.0
Alex Higley,!,4.0,3.0,0,"5' 10""",145 lbs.,--,,--,0.29,100%,1.74,60%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,3,0,"5' 10""",145 lbs.,--,,--,0.29,100%,1.74,60%,0.0,0%,0%,0.0
Alex Huddleston,The Shaved Gorilla,6.0,2.0,0,"6' 7""",254 lbs.,--,,11-Aug-86,2.47,42%,2.59,67%,0.0,0%,0%,0.9,,,,,,,,,,,,,,,,,,,,left_only,6,2,0,"6' 7""",254 lbs.,--,,11-Aug-86,2.47,42%,2.59,67%,0.0,0%,0%,0.9
Alex Morono,The Great White,23.0,9.0,0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,16-Aug-90,5.02,41%,4.17,58%,0.34,22%,50%,0.3,,,,,,,,,,,,,,,,,,,,left_only,23,9,0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,16-Aug-90,5.02,41%,4.17,58%,0.34,22%,50%,0.3
Alex Nicholson,The Spartan,7.0,4.0,0,"6' 4""",185 lbs.,"77""",Orthodox,2-May-90,4.12,43%,4.65,47%,0.0,0%,50%,0.5,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"6' 4""",185 lbs.,"77""",Orthodox,2-May-90,4.12,43%,4.65,47%,0.0,0%,50%,0.5
Alex Ricci,!,10.0,5.0,0,"5' 11""",155 lbs.,--,Orthodox,21-Jul-82,2.48,41%,2.53,64%,0.0,0%,64%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,5,0,"5' 11""",155 lbs.,--,Orthodox,21-Jul-82,2.48,41%,2.53,64%,0.0,0%,64%,0.0
Alex Stiebling,The Brazilian Killa,19.0,11.0,1 (1 NC),"6' 2""",205 lbs.,--,Southpaw,--,1.77,42%,1.45,52%,0.35,66%,66%,0.7,,,,,,,,,,,,,,,,,,,,left_only,19,11,1 (1 NC),"6' 2""",205 lbs.,--,Southpaw,--,1.77,42%,1.45,52%,0.35,66%,66%,0.7
Alex Zuniga,!,6.0,3.0,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,3,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alexander Crispim,!,8.0,6.0,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,6,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alexander Morgan,The Chess Master,11.0,5.0,0,"5' 10""",145 lbs.,"71""",Orthodox,14-May-91,3.71,44%,2.78,47%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,11,5,0,"5' 10""",145 lbs.,"71""",Orthodox,14-May-91,3.71,44%,2.78,47%,0.0,0%,0%,0.0
Alexander Munoz,!,7.0,2.0,0,"5' 9""",155 lbs.,"72""",Switch,27-Feb-90,3.7,42%,4.73,55%,3.0,40%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,2,0,"5' 9""",155 lbs.,"72""",Switch,27-Feb-90,3.7,42%,4.73,55%,3.0,40%,100%,0.0
Alexander Otsuka,The Diet Butcher,5.0,13.0,0,"6' 1""",205 lbs.,--,Orthodox,17-Jul-71,0.9,55%,1.16,51%,1.51,43%,53%,0.8,,,,,,,,,,,,,,,,,,,,left_only,5,13,0,"6' 1""",205 lbs.,--,Orthodox,17-Jul-71,0.9,55%,1.16,51%,1.51,43%,53%,0.8
Alexander Sarnavskiy,Tiger,35.0,6.0,0,"5' 11""",155 lbs.,--,,17-Jan-89,1.43,66%,2.06,42%,0.0,0%,75%,0.0,,,,,,,,,,,,,,,,,,,,left_only,35,6,0,"5' 11""",155 lbs.,--,,17-Jan-89,1.43,66%,2.06,42%,0.0,0%,75%,0.0
Alexander Shlemenko,Storm,56.0,9.0,0 (1 NC),"5' 11""",185 lbs.,--,,20-May-84,4.36,60%,1.71,63%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,56,9,0 (1 NC),"5' 11""",185 lbs.,--,,20-May-84,4.36,60%,1.71,63%,0.0,0%,0%,0.0
Alexander Trevino,!,7.0,7.0,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,7,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alexandre Franca Nogueira,Pequeno,18.0,6.0,3,"5' 7""",145 lbs.,--,Orthodox,15-Jan-78,0.6,20%,4.18,57%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,6,3,"5' 7""",145 lbs.,--,Orthodox,15-Jan-78,0.6,20%,4.18,57%,0.0,0%,0%,0.0
Alexandru Lungu,!,14.0,4.0,0,"6' 0""",385 lbs.,--,Orthodox,3-Sep-74,3.61,66%,7.22,40%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,4,0,"6' 0""",385 lbs.,--,Orthodox,3-Sep-74,3.61,66%,7.22,40%,0.0,0%,0%,0.0
Aliev Makhmud,!,0.0,1.0,0,"5' 6""",195 lbs.,--,Southpaw,13-Feb-70,1.12,30%,2.24,36%,2.1,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 6""",195 lbs.,--,Southpaw,13-Feb-70,1.12,30%,2.24,36%,2.1,50%,0%,0.0
Allan Nascimento,Puro Osso,20.0,6.0,0,"5' 8""",125 lbs.,"69""",Orthodox,11-Sep-91,3.21,61%,2.28,50%,1.55,26%,16%,0.9,,,,,,,,,,,,,,,,,,,,left_only,20,6,0,"5' 8""",125 lbs.,"69""",Orthodox,11-Sep-91,3.21,61%,2.28,50%,1.55,26%,16%,0.9
Allan Zuniga,Tigre,13.0,1.0,0,"5' 7""",155 lbs.,"70""",Orthodox,4-Apr-92,3.93,52%,1.8,61%,0.0,0%,57%,1.0,,,,,,,,,,,,,,,,,,,,left_only,13,1,0,"5' 7""",155 lbs.,"70""",Orthodox,4-Apr-92,3.93,52%,1.8,61%,0.0,0%,57%,1.0
Alonzo Martinez,Zo Diddy,42.0,20.0,1,"5' 10""",155 lbs.,--,,22-Apr-84,3.07,27%,7.33,52%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,42,20,1,"5' 10""",155 lbs.,--,,22-Apr-84,3.07,27%,7.33,52%,0.0,0%,0%,0.0
Alonzo Menifield,Atomic,15.0,3.0,1,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87,3.92,57%,3.51,49%,0.67,33%,75%,0.3,,,,,,,,,,,,,,,,,,,,left_only,15,3,1,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87,3.92,57%,3.51,49%,0.67,33%,75%,0.3
Alvaro Herrera Mendoza,Chango,9.0,6.0,0,"6' 0""",155 lbs.,"74""",Orthodox,14-May-90,1.89,38%,3.4,55%,0.0,0%,33%,1.1,,,,,,,,,,,,,,,,,,,,left_only,9,6,0,"6' 0""",155 lbs.,"74""",Orthodox,14-May-90,1.89,38%,3.4,55%,0.0,0%,33%,1.1
Alvin Cacdac,!,18.0,13.0,0,"5' 6""",125 lbs.,--,Orthodox,--,1.21,66%,0.61,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,13,0,"5' 6""",125 lbs.,--,Orthodox,--,1.21,66%,0.61,0%,0.0,0%,0%,0.0
Amador Ramirez,!,5.0,4.0,0,--,135 lbs.,--,,14-Jun-90,4.93,51%,2.07,69%,1.0,33%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,--,135 lbs.,--,,14-Jun-90,4.93,51%,2.07,69%,1.0,33%,0%,0.0
Amber Tackett,!,1.0,3.0,0,--,115 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,3,0,--,115 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Amir Rahnavardi,!,11.0,10.0,0,"6' 0""",205 lbs.,--,Orthodox,7-Dec-74,0.67,25%,0.0,100%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,11,10,0,"6' 0""",205 lbs.,--,Orthodox,7-Dec-74,0.67,25%,0.0,100%,0.0,0%,50%,0.0
Anatoly Tokov,!,25.0,2.0,0,"5' 10""",185 lbs.,--,,17-Feb-90,3.51,72%,0.54,66%,2.03,100%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,25,2,0,"5' 10""",185 lbs.,--,,17-Feb-90,3.51,72%,0.54,66%,2.03,100%,100%,0.0
Anderson Dos Santos,Berinja,21.0,9.0,0,"5' 5""",135 lbs.,"70""",Orthodox,24-Jul-85,2.7,25%,5.37,49%,0.98,14%,66%,0.7,,,,,,,,,,,,,,,,,,,,left_only,21,9,0,"5' 5""",135 lbs.,"70""",Orthodox,24-Jul-85,2.7,25%,5.37,49%,0.98,14%,66%,0.7
Andre Amado,Dida,6.0,4.0,1,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.0,0%,20%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,4,1,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.0,0%,20%,0.0
Andre Galvao,!,5.0,2.0,0,"5' 7""",168 lbs.,--,Orthodox,29-Sep-82,2.34,52%,1.56,58%,2.02,27%,0%,2.8,,,,,,,,,,,,,,,,,,,,left_only,5,2,0,"5' 7""",168 lbs.,--,Orthodox,29-Sep-82,2.34,52%,1.56,58%,2.02,27%,0%,2.8
Andre Lima,Mascote,7.0,0.0,0,"5' 7""",125 lbs.,"67""",Orthodox,4-Feb-99,4.07,66%,1.67,67%,1.0,100%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,0,0,"5' 7""",125 lbs.,"67""",Orthodox,4-Feb-99,4.07,66%,1.67,67%,1.0,100%,100%,0.0
Andre Muniz,Sergipano,24.0,6.0,0,"6' 1""",185 lbs.,"78""",Southpaw,17-Feb-90,1.97,50%,1.99,54%,4.23,50%,35%,1.2,,,,,,,,,,,,,,,,,,,,left_only,24,6,0,"6' 1""",185 lbs.,"78""",Southpaw,17-Feb-90,1.97,50%,1.99,54%,4.23,50%,35%,1.2
Andre Mussi,!,11.0,5.0,0,"6' 3""",242 lbs.,--,Orthodox,--,0.0,0%,10.59,35%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,11,5,0,"6' 3""",242 lbs.,--,Orthodox,--,0.0,0%,10.59,35%,0.0,0%,0%,0.0
Andre Santos,Chatuba,38.0,10.0,0,"6' 0""",170 lbs.,--,,--,2.77,34%,4.17,41%,2.5,29%,75%,0.0,,,,,,,,,,,,,,,,,,,,left_only,38,10,0,"6' 0""",170 lbs.,--,,--,2.77,34%,4.17,41%,2.5,29%,75%,0.0
Andre Walker,!,1.0,5.0,0,"5' 11""",205 lbs.,--,Southpaw,--,2.28,31%,4.36,34%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,5,0,"5' 11""",205 lbs.,--,Southpaw,--,2.28,31%,4.36,34%,0.0,0%,0%,0.0
Andreas Michailidis,The Spartan,13.0,6.0,0,"6' 0""",170 lbs.,"76""",Orthodox,18-Jul-88,2.9,51%,3.57,44%,1.12,27%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,6,0,"6' 0""",170 lbs.,"76""",Orthodox,18-Jul-88,2.9,51%,3.57,44%,1.12,27%,50%,0.0
Andrei Kopylov,!,6.0,11.0,0,"6' 2""",265 lbs.,--,Orthodox,16-Jul-65,0.33,66%,4.31,40%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,11,0,"6' 2""",265 lbs.,--,Orthodox,16-Jul-65,0.33,66%,4.31,40%,0.0,0%,0%,0.0
Andrew Martinez,Mickey D,9.0,6.0,0,"5' 9""",215 lbs.,--,,--,3.4,31%,2.3,47%,1.5,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,6,0,"5' 9""",215 lbs.,--,,--,3.4,31%,2.3,47%,1.5,50%,0%,0.0
