name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
Goran Reljic,!,15.0,8.0,0,"6' 3""",205 lbs.,"81""",Southpaw,20-Mar-84,1.69,37%,2.69,59%,1.69,50%,33%,1.1,,,,,,,,,,,,,,,,,,,,left_only,15,8,0,"6' 3""",205 lbs.,"81""",Southpaw,20-Mar-84,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Greg McIntyre,!,6.0,4.0,0,"5' 10""",155 lbs.,--,Orthodox,21-Apr-80,0.79,30%,1.36,41%,5.09,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,4,0,"5' 10""",155 lbs.,--,Orthodox,21-Apr-80,0.79,30%,1.36,41%,5.09,50%,0%,0.0
Greg Nagy,!,1.0,3.0,0,"6' 1""",210 lbs.,--,Orthodox,18-Oct-83,0.41,50%,2.69,37%,0.0,0%,0%,1.2,,,,,,,,,,,,,,,,,,,,left_only,1,3,0,"6' 1""",210 lbs.,--,Orthodox,18-Oct-83,0.41,50%,2.69,37%,0.0,0%,0%,1.2
Greg Scott,!,3.0,4.0,0,"5' 9""",145 lbs.,--,,--,3.9,55%,7.79,37%,11.69,100%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,3,4,0,"5' 9""",145 lbs.,--,,--,3.9,55%,7.79,37%,11.69,100%,0%,0.0
Greg Wilson,!,2.0,3.0,0,--,155 lbs.,--,,2-Oct-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,3,0,--,155 lbs.,--,,2-Oct-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gregory Bouchelaghem,!,5.0,4.0,0,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0.0,0%,50%,0.0
Guangyou Ning,Smasher,5.0,4.0,1,"5' 4""",145 lbs.,"64""",Southpaw,15-Dec-81,2.66,41%,1.91,61%,1.09,50%,62%,0.3,,,,,,,,,,,,,,,,,,,,left_only,5,4,1,"5' 4""",145 lbs.,"64""",Southpaw,15-Dec-81,2.66,41%,1.91,61%,1.09,50%,62%,0.3
Guilherme Costa,The Prodigy,7.0,1.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,1,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Guilherme Viana,!,7.0,3.0,0,"6' 4""",205 lbs.,--,,--,2.92,40%,2.72,59%,1.2,66%,77%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,3,0,"6' 4""",205 lbs.,--,,--,2.92,40%,2.72,59%,1.2,66%,77%,0.0
Gunnar Nelson,Gunni,19.0,5.0,1,"5' 11""",170 lbs.,"72""",Switch,28-Jul-88,1.84,61%,3.0,49%,1.9,59%,66%,1.0,,,,,,,,,,,,,,,,,,,,left_only,19,5,1,"5' 11""",170 lbs.,"72""",Switch,28-Jul-88,1.84,61%,3.0,49%,1.9,59%,66%,1.0
Guy Mezger,!,30.0,14.0,2,"6' 1""",200 lbs.,--,Orthodox,1-Jan-68,2.3,32%,1.36,72%,0.39,50%,88%,0.0,,,,,,,,,,,,,,,,,,,,left_only,30,14,2,"6' 1""",200 lbs.,--,Orthodox,1-Jan-68,2.3,32%,1.36,72%,0.39,50%,88%,0.0
Haisam Rida,!,0.0,0.0,0,--,--,--,,25-Jul-93,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,0,0,--,--,--,,25-Jul-93,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Han Ten Yun,!,0.0,1.0,0,"5' 11""",220 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 11""",220 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Hans Nijman,!,9.0,7.0,0,"6' 0""",250 lbs.,--,Switch,23-Oct-59,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,7,0,"6' 0""",250 lbs.,--,Switch,23-Oct-59,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Harris Sarmiento,The Hitman,36.0,26.0,0,"5' 9""",155 lbs.,--,Orthodox,9-Sep-83,0.84,25%,3.46,36%,2.36,60%,57%,0.0,,,,,,,,,,,,,,,,,,,,left_only,36,26,0,"5' 9""",155 lbs.,--,Orthodox,9-Sep-83,0.84,25%,3.46,36%,2.36,60%,57%,0.0
Harry Moskowitz,Dirty,6.0,12.0,0,"6' 5""",275 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,12,0,"6' 5""",275 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Haven Torres,!,0.0,0.0,0,--,125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,0,0,--,125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Heather Clark,Hurricane,7.0,6.0,0,"5' 6""",115 lbs.,"64""",Orthodox,19-Sep-80,3.69,49%,5.62,50%,0.33,4%,80%,0.3,,,,,,,,,,,,,,,,,,,,left_only,7,6,0,"5' 6""",115 lbs.,"64""",Orthodox,19-Sep-80,3.69,49%,5.62,50%,0.33,4%,80%,0.3
