name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
AJ Fletcher,The Ghost,10.0,3.0,0,27.0,79,0.31,0.49,1.54,0.35,0.9,70,67,3.0,3.36,9.716666666666667,4.61,0.46,0.33
Aalon Cruz,45,8.0,4.0,0,34.0,79,0.85,0.39,0.0,0.0,0.0,72,78,3.0,7.58,5.9,8.88,0.58,0.0
Aaron Jeffery,207,10.0,3.0,0,31.0,49,0.0,0.45,0.0,0.0,0.0,74,73,0.0,3.1,9.2,4.46,0.34,0.5
Abdul Razak Alhassan,423,12.0,6.0,0,38.0,15,1.78,0.48,0.89,0.38,0.2,70,73,0.0,3.37,6.5,3.99,0.55,0.5
AbdulKareem AlSelwady,Pride of Palestine,15.0,4.0,0,29.0,79,0.0,0.34,2.32,0.3,0.0,68,69,0.0,4.14,12.916666666666666,3.6,0.59,0.2
Abel Trujillo,Killa,15.0,8.0,0,40.0,79,0.44,0.41,2.18,0.45,0.4,68,70,0.0,2.65,9.383333333333333,2.31,0.59,0.4
Abu Azaitar,Captain Morocco,14.0,4.0,1,38.0,17,0.0,0.43,1.0,0.37,0.0,69,76,0.0,4.38,14.983333333333333,4.32,0.51,0.42
Abus Magomedov,315,26.0,6.0,1,33.0,92,0.38,0.44,2.65,0.77,0.0,74,78,0.0,2.88,9.916666666666666,3.73,0.55,1.0
Achilles Estremadura,73,7.0,1.0,0,32.0,49,0.0,0.43,0.0,0.0,0.0,70,68,0.0,3.2,15.0,3.27,0.7,0.0
Adam Fugitt,102,9.0,4.0,0,35.0,79,0.0,0.54,3.43,0.33,0.0,73,77,1.0,4.3,7.283333333333333,5.13,0.48,0.5
Adam Milstead,The Prototype,8.0,4.0,0,36.0,79,0.0,0.46,0.0,0.0,0.0,75,76,0.0,3.85,8.25,4.79,0.43,0.64
Adam Wieczorek,Siwy,10.0,2.0,0,32.0,73,0.0,0.38,0.41,0.33,0.4,77,81,0.0,1.68,12.333333333333334,1.87,0.48,0.58
Adam Yandiev,Boroda,9.0,1.0,0,35.0,94,0.0,0.08,0.0,0.0,0.0,69,74,0.0,0.18,5.7,6.14,0.36,0.25
Adlan Amagov,Borz,14.0,2.0,1,37.0,92,1.3,0.47,5.84,0.56,0.0,74,76,0.0,3.29,6.35,0.82,0.78,1.0
Adrian Yanez,538,17.0,5.0,0,30.0,79,1.98,0.41,0.0,0.0,0.0,67,70,0.0,6.51,5.9,5.75,0.57,1.0
Adriano Martins,337,28.0,9.0,0,41.0,14,0.62,0.38,0.83,0.8,0.4,70,72,1.0,1.8,9.716666666666667,2.14,0.65,0.81
Ahmad Hassanzada,Lion of the Ring,10.0,2.0,0,27.0,94,0.0,0.34,2.5,0.22,0.0,73,75,0.0,2.59,11.983333333333333,4.42,0.4,0.0
Aiemann Zahabi,543,11.0,2.0,0,36.0,49,0.59,0.43,0.2,0.16,0.0,68,68,0.0,3.43,10.866666666666667,3.61,0.71,0.79
Akihiro Gono,The Japanese Sensation,35.0,21.0,8,49.0,79,0.39,0.48,1.01,0.84,0.5,67,68,3.0,2.18,12.766666666666667,2.67,0.63,0.46
Akitoshi Tamura,The Ironman,21.0,18.0,2,44.0,79,0.0,0.43,0.0,0.0,1.0,69,70,0.0,3.73,14.933333333333334,1.94,0.78,0.2
Al Iaquinta,Raging,14.0,7.0,1,37.0,79,0.55,0.4,0.63,0.18,0.2,70,70,0.0,4.06,12.7,4.53,0.61,0.74
Al Matavao,Sweetness,8.0,3.0,0,30.0,113,0.0,0.46,0.0,0.0,0.0,68,67,0.0,7.84,7.016666666666667,6.7,0.58,0.0
Alan Jouban,Brahma,17.0,7.0,0,42.0,79,1.15,0.5,0.51,0.44,0.3,72,73,1.0,5.67,9.0,3.77,0.6,0.58
Alatengheili,The Mongolian Knight,17.0,9.0,2,32.0,32,0.14,0.32,1.99,0.45,0.0,65,66,0.0,2.64,13.216666666666667,4.67,0.57,0.75
Albert Morales,The Warrior,7.0,4.0,1,33.0,79,0.0,0.35,0.91,0.35,0.2,69,72,0.0,3.81,11.766666666666667,3.96,0.56,0.7
